subscription_id,account_id,plan,mrr,currency,start_date,end_date
S000000105,A0001752,pro,538.47,USD,2022-07-07,2022-10-02
S000000106,A0003203,free,218.58,EUR,2023-03-24,2023-07-11
S000000107,A0001098,pro,95.28,USD,2022-10-27,2023-09-30
S000000108,A0004912,basic,198.47,EUR,2022-06-23,2022-09-10
S000000109,A0000291,free,475.93,EUR,2022-12-03,2023-07-15
S000000110,A0005803,enterprise,0.0,EUR,2024-02-05,2024-09-16
S000000111,A0002163,pro,480.14,USD,2022-03-27,2023-10-19
S000000112,A0005491,basic,191.15,EUR,2024-06-13,2025-01-07
S000000113,A0004781,basic,27.32,USD,2024-08-14,2025-04-13
S000000114,A0002880,free,90.04,EUR,2024-08-10,2024-10-11
S000000115,A0001924,free,472.82,EUR,2023-08-10,2024-04-14
S000000116,A0005187,free,98.97,EUR,2022-07-30,2023-06-04
S000000117,A0002793,pro,501.01,USD,2023-03-16,2023-12-19
S000000118,A0002352,pro,0.0,EUR,2022-08-09,2023-08-18
S000000119,A0001898,free,0.0,USD,2023-12-29,2025-04-02
S000000120,A0005554,enterprise,89.17,EUR,2023-04-22,2024-03-11
S000000121,A0005584,pro,546.74,EUR,2022-07-06,2023-07-13
S000000122,A0001155,basic,94.53,USD,2023-12-20,2024-12-18
S000000123,A0003498,enterprise,183.43,USD,2024-01-02,2024-11-19
S000000124,A0001112,enterprise,480.17,USD,2023-02-25,2023-12-22
S000000125,A0005006,free,31.82,USD,2022-04-08,2023-06-04
S000000126,A0005212,free,0.0,EUR,2023-09-04,2024-07-25
S000000127,A0004928,basic,26.25,USD,2024-01-27,2025-01-21
S000000128,A0000896,basic,26.13,EUR,2024-07-19,2025-10-21
S000000129,A0003310,enterprise,0.0,USD,2023-04-14,2024-07-31
S000000130,A0000865,basic,28.1,EUR,2022-05-08,2023-03-11
S000000131,A0002242,pro,0.0,EUR,2022-12-26,2023-11-23
S000000132,A0002499,free,29.22,EUR,2023-11-27,2025-02-15
S000000133,A0000454,pro,30.46,EUR,2023-08-09,2023-10-22
S000000134,A0001133,enterprise,0.0,USD,2022-04-11,2023-09-20
S000000135,A0004322,free,27.33,USD,2024-08-08,2026-03-25
S000000136,A0005296,free,105.46,EUR,2024-05-06,2025-04-11
S000000137,A0005047,enterprise,0.0,EUR,2023-11-06,2024-12-11
S000000138,A0000029,enterprise,458.49,EUR,2023-01-15,2024-02-25
S000000139,A0002558,pro,209.85,USD,2024-06-06,2026-01-25
S000000140,A0003291,pro,476.96,EUR,2023-05-24,2024-04-08
S000000141,A0000150,pro,505.35,EUR,2023-10-13,2025-02-11
S000000142,A0004257,enterprise,179.12,USD,2023-12-24,2025-08-03
S000000143,A0002578,basic,188.98,EUR,2023-12-01,2024-01-28
S000000144,A0003456,free,30.12,EUR,2024-04-13,2025-09-09
S000000145,A0000597,enterprise,29.89,EUR,2024-05-19,2025-07-04
S000000146,A0005561,free,487.3,USD,2024-08-11,2025-05-31
S000000147,A0001679,basic,28.56,EUR,2024-03-26,2024-10-11
S000000148,A0001752,enterprise,536.41,EUR,2022-08-22,2023-06-19
S000000149,A0005177,basic,0.0,USD,2024-05-17,2025-12-17
S000000150,A0002750,pro,0.0,USD,2023-05-07,2024-08-07
S000000151,A0005731,free,202.19,USD,2023-09-13,2024-06-20
S000000152,A0002297,basic,26.9,USD,2023-05-19,2024-01-18
S000000153,A0005358,basic,31.38,USD,2022-09-16,2023-10-08
S000000154,A0002491,enterprise,528.75,EUR,2024-04-16,2024-10-23
S000000155,A0003788,free,29.45,USD,2022-04-29,2023-04-25
S000000156,A0001558,free,472.84,EUR,2022-10-27,2023-04-04
S000000157,A0004249,enterprise,106.96,USD,2022-05-16,2023-03-10
S000000158,A0001400,free,0.0,USD,2022-01-03,2022-02-06
S000000159,A0002083,enterprise,184.98,USD,2024-03-05,2024-12-29
S000000160,A0000444,basic,543.06,EUR,2024-04-11,2025-08-30
S000000161,A0002810,enterprise,0.0,USD,2022-02-12,2022-03-25
S000000162,A0004720,basic,483.66,EUR,2024-01-18,2024-06-28
S000000163,A0003804,free,453.21,USD,2023-06-06,2023-08-25
S000000164,A0003391,enterprise,27.78,USD,2023-02-13,2023-06-02
S000000165,A0003434,enterprise,0.0,USD,2023-11-27,2025-07-01
S000000166,A0005815,pro,0.0,USD,2023-07-20,2024-09-21
S000000167,a0000630,enterprise,28.72,EUR,2022-10-30,2024-01-22
S000000168,A0004096,free,542.78,USD,2023-06-30,2024-07-02
S000000169,A0004622,enterprise,0.0,EUR,2022-02-18,2023-08-29
S000000170,A0000074,pro,98.32,EUR,2024-01-14,2024-03-29
S000000171,A0001748,basic,543.28,EUR,2023-10-22,2024-11-24
S000000172,A0000034,basic,98.33,EUR,2024-04-16,2024-08-04
S000000173,A0002872,basic,529.23,USD,2023-01-14,2023-08-23
S000000174,A0004484,pro,201.72,USD,2022-02-05,2022-09-23
S000000175, A0005232 ,enterprise,189.97,USD,2024-08-21,2024-10-17
S000000176,A0000552,enterprise,526.98,EUR,2024-07-08,2025-04-12
S000000177,A0002876,free,0.0,EUR,2023-02-25,2024-03-10
S000000178,A0001929,free,0.0,USD,2024-02-27,2025-07-12
S000000179,A0003664,enterprise,26.55,EUR,2024-07-09,2024-12-15
S000000180,A0002988,enterprise,108.75,USD,2022-11-23,2023-03-27
S000000181,A0000271,basic,0.0,USD,2024-03-04,2024-09-25
S000000182,A0001083,free,452.68,EUR,2022-04-12,2023-09-23
S000000183,A0000811,free,0.0,EUR,2024-04-14,2025-08-24
S000000184,A0001752,pro,106.06,USD,2024-03-20,2025-05-20
S000000185,A0005111,basic,91.75,USD,2022-08-24,2024-02-15
S000000186,A0001047,free,197.31,EUR,2024-02-23,2025-08-14
S000000187,A0003857,enterprise,189.0,USD,2023-07-18,2023-12-25
S000000188,A0005703,free,30.59,USD,2023-11-23,2025-02-10
S000000189,A0004137,pro,26.87,EUR,2023-06-20,2025-01-17
S000000190,A0005273,free,523.95,USD,2024-07-18,2024-10-13
S000000191,A0003208,pro,107.98,USD,2023-04-17,2024-07-30
S000000192,A0000923,pro,0.0,EUR,2023-05-20,2023-08-02
S000000193,A0000624,free,29.5,USD,2022-06-09,2024-01-26
S000000194,A0000691,enterprise,30.86,USD,2024-05-30,2024-07-01
S000000195,A0003091,free,0.0,EUR,2023-06-20,2024-12-15
S000000196,A0002764,basic,186.39,USD,2024-06-27,2026-01-26
S000000197,A0005941,enterprise,30.39,EUR,2022-12-19,2024-04-10
S000000198,A0002355,free,29.08,EUR,2024-05-02,2024-10-26
S000000199,A0003420,pro,97.28,USD,2022-10-12,2023-09-30
S000000200,A0003808,free,541.36,USD,2023-10-22,2024-02-26
S000000201,A0005962,free,194.24,EUR,2023-10-31,2024-09-07
S000000202,A0005790,enterprise,31.87,EUR,2022-12-01,2024-04-16
S000000203,A0000393,basic,29.74,EUR,2024-09-14,2024-11-24
S000000204,A0004069,pro,107.11,USD,2022-07-10,2022-08-21
S000000205,A0005505,free,453.61,USD,2022-01-25,2022-10-29
S000000206,A0003380,basic,525.73,USD,2022-05-31,2023-03-01
S000000207,A0004235,free,200.92,EUR,2023-06-23,2024-03-23
S000000208,A0004803,free,96.24,USD,2024-03-16,2025-01-28
S000000209,A0001609,enterprise,209.12,EUR,2023-06-17,2024-01-17
S000000210,A0001105,enterprise,540.56,EUR,2023-09-28,2024-05-04
S000000211,A0002247,free,0.0,EUR,2022-04-11,2023-01-27
S000000212,A0002527,free,200.88,USD,2022-08-21,2023-01-29
S000000213,A0001072,basic,540.79,EUR,2023-11-05,2024-05-30
S000000214,A0004328,enterprise,0.0,USD,2022-03-30,2023-03-12
S000000215,A0001000,enterprise,0.0,EUR,2023-12-05,2024-10-28
S000000216,A0001246,enterprise,31.35,EUR,2022-03-28,2022-12-24
S000000217,A0002026,free,215.48,EUR,2024-06-09,2024-12-18
S000000218,A0004660,enterprise,213.49,USD,2022-01-18,2023-05-16
S000000219,A0004786,pro,92.51,USD,2022-05-10,2022-08-01
S000000220,A0005804,free,26.49,USD,2024-06-03,2025-03-13
S000000221,A0003241,enterprise,460.54,USD,2022-02-06,2022-11-11
S000000222,A0005694,free,181.66,EUR,2022-11-14,2023-05-12
S000000223,A0004602,basic,209.61,USD,2022-11-17,2023-06-17
S000000224,A0003858,pro,524.89,EUR,2024-03-28,2025-06-11
S000000225,A0001065,enterprise,100.38,EUR,2022-07-23,2023-10-15
S000000226,A0004670,free,0.0,EUR,2024-09-24,2025-12-17
S000000227,A0002713,free,105.04,USD,2022-03-14,2022-12-02
S000000228,A0000796,basic,473.25,USD,2022-11-11,2023-02-18
S000000229,A0001109,basic,97.6,USD,2023-02-22,2024-01-16
S000000230,A0000876,enterprise,0.0,USD,2023-02-27,2023-07-19
S000000231,A0005348,basic,94.45,EUR,2023-09-10,2024-08-26
S000000232,A0001575,basic,451.27,USD,2023-12-04,2024-12-04
S000000233,A0003533,free,102.56,USD,2022-11-18,2024-05-30
S000000234,A0003294,enterprise,193.84,EUR,2023-02-24,2023-05-05
S000000235,A0001643,free,542.8,USD,2023-08-15,2023-11-14
S000000236,A0003871,basic,199.64,EUR,2022-09-27,2023-09-25
S000000237,a0004208,enterprise,0.0,USD,2024-09-16,2026-04-04
S000000238,A0002796,pro,0.0,USD,2023-05-12,2024-03-06
S000000239,A0004139,pro,540.06,USD,2022-07-25,2024-02-09
S000000240,A0001567,free,454.99,USD,2023-02-01,2024-07-25
S000000241,A0001874,basic,471.09,USD,2023-10-07,2025-01-15
S000000242,A0000427,enterprise,475.45,USD,2022-05-25,2023-11-09
S000000243,A0000598,enterprise,519.81,EUR,2023-08-18,2024-05-27
S000000244,A0004777,enterprise,0.0,USD,2022-04-28,2023-12-04
S000000245,A0003746,basic,93.09,EUR,2023-01-13,2024-02-16
S000000246,A0005800,enterprise,31.39,USD,2022-08-16,2023-11-29
S000000247,A0004155,enterprise,519.7,EUR,2023-03-19,2024-04-19
S000000248,A0005928,basic,96.13,EUR,2023-12-29,2024-09-28
S000000249,A0001630,basic,30.17,USD,2024-03-02,2024-06-12
S000000250,A0004317,free,103.17,USD,2024-01-28,2025-04-19
S000000251,A0005206,pro,94.76,EUR,2024-01-20,2025-07-09
S000000252,A0002977,free,533.81,EUR,2023-08-11,2024-07-22
S000000253,A0001548,free,90.55,EUR,2023-12-18,2024-08-22
S000000254,A0000825,enterprise,31.39,USD,2024-07-08,2024-12-25
S000000255,A0002780,enterprise,482.9,USD,2022-03-18,2023-03-24
S000000256,A0003944,enterprise,0.0,USD,2022-04-08,2023-06-05
S000000257,A0005866,free,205.88,EUR,2023-04-01,2023-05-22
S000000258,A0003584,free,540.47,EUR,2023-03-14,2024-07-14
S000000259,A0000122,pro,0.0,USD,2022-08-08,2023-02-02
S000000260,A0003330,free,0.0,USD,2022-02-23,2023-04-03
S000000261,A0001745,enterprise,450.09,EUR,2023-09-10,2023-11-05
S000000262,A0004154,enterprise,203.13,EUR,2022-04-16,2023-03-31
S000000263,A0002596,pro,499.83,EUR,2024-08-13,2025-05-13
S000000264,A0002673,enterprise,181.13,EUR,2023-02-21,2024-05-13
S000000265,A0005169,pro,194.63,EUR,2023-12-15,2024-11-04
S000000266,A0000710,enterprise,521.67,USD,2023-03-02,2023-05-31
S000000267,A0003179,free,179.69,EUR,2022-09-20,2023-07-24
S000000268,A0002559,free,28.41,EUR,2022-01-13,2022-08-19
S000000269,A0002738,free,457.53,USD,2024-07-04,2025-07-25
S000000270,A0000491,free,502.75,EUR,2023-07-26,2024-02-25
S000000271,A0004921,pro,0.0,EUR,2024-01-05,2024-11-25
S000000272,A0002393,pro,208.49,EUR,2024-09-05,2025-02-07
S000000273,A0001095,free,27.06,EUR,2023-02-12,2024-02-19
S000000274,A0004026,free,0.0,USD,2022-11-29,2024-07-02
S000000275,A0002543,basic,216.55,EUR,2024-02-03,2024-05-01
S000000276,A0002730,pro,0.0,USD,2024-08-07,2025-03-27
S000000277, A0004223 ,enterprise,184.2,EUR,2023-08-18,2024-12-01
S000000278,A0004046,enterprise,206.09,EUR,2022-07-17,2023-10-20
S000000279,A0002090,enterprise,209.22,USD,2022-02-05,2023-04-11
S000000280,A0002652,enterprise,31.08,EUR,2023-12-26,2025-01-19
S000000281,A0002624,free,103.26,EUR,2022-12-12,2023-06-27
S000000282,A0001896,basic,0.0,USD,2024-09-21,2024-11-01
S000000283,A0000127,pro,26.96,USD,2023-03-25,2024-04-07
S000000284,A0001229,basic,96.6,USD,2023-04-16,2023-12-05
S000000285,A0003707,basic,30.39,EUR,2022-03-04,2022-08-29
S000000286,A0001851,enterprise,181.05,EUR,2024-05-02,2024-06-05
S000000287,A0004541,enterprise,0.0,USD,2024-09-22,2026-01-11
S000000288,A0003553,pro,454.3,EUR,2022-01-25,2023-03-02
S000000289,A0002907,pro,0.0,USD,2022-04-05,2022-05-12
S000000290,a0004565,pro,0.0,EUR,2023-12-16,2024-05-08
S000000291,A0002811,pro,29.91,USD,2022-07-18,2023-06-28
S000000292,A0002347,enterprise,108.72,EUR,2023-02-24,2023-10-03
S000000293,A0000499,enterprise,526.08,USD,2022-06-14,2022-12-12
S000000294,A0005351,enterprise,30.23,USD,2024-07-13,2024-08-12
S000000295,A0005973,pro,202.26,USD,2024-08-14,2025-02-20
S000000296,A0002631,basic,0.0,EUR,2023-11-05,2024-03-31
S000000297,A0002914,basic,28.27,EUR,2023-01-19,2024-07-01
S000000298,A0003981,basic,193.61,EUR,2022-11-16,2023-02-26
S000000299,A0005448,basic,0.0,EUR,2022-03-17,2023-04-18
S000000300,A0001226,free,27.66,USD,2023-02-24,2024-02-26
S000000301,A0001063,enterprise,105.79,USD,2024-01-25,2024-12-27
S000000302,A0001094,basic,29.47,USD,2023-11-29,2024-08-17
S000000303,A0004135,basic,93.49,EUR,2024-01-09,2024-08-09
S000000304,A0000065,free,99.72,USD,2024-03-21,2025-02-27
S000000305,A0003944,enterprise,182.96,USD,2024-09-10,2024-10-11
S000000306,A0004697,basic,106.55,EUR,2022-02-12,2023-05-24
S000000307,A0003249,pro,475.96,USD,2022-12-01,2023-10-07
S000000308,A0000431,pro,208.81,USD,2024-03-07,2025-10-10
S000000309, A0005676 ,free,181.15,EUR,2022-11-21,2024-01-18
S000000310,A0004775,enterprise,0.0,EUR,2024-01-09,2024-11-02
S000000311,A0003256,enterprise,105.3,EUR,2024-02-11,2025-05-07
S000000312,A0003370,pro,0.0,USD,2024-06-27,2024-09-01
S000000313,A0000277,basic,0.0,EUR,2023-11-09,2025-06-07
S000000314,A0003938,pro,0.0,EUR,2022-09-01,2023-05-13
S000000315,A0002371,pro,181.82,USD,2022-10-18,2023-06-17
S000000316,A0002635,pro,28.33,USD,2023-03-28,2024-07-15
S000000317,A0002025,enterprise,107.11,EUR,2022-04-25,2023-01-07
S000000318,A0001363,enterprise,108.83,USD,2022-02-28,2022-10-12
S000000319,A0004061,enterprise,491.39,USD,2022-09-18,2024-04-17
S000000320,A0005622,enterprise,203.79,EUR,2024-02-20,2025-05-24
S000000321,A0005616,enterprise,527.12,EUR,2024-03-02,2024-06-30
S000000322,A0002681,enterprise,459.03,USD,2023-01-15,2024-07-05
S000000323,A0005853,enterprise,0.0,EUR,2023-11-29,2024-08-09
S000000324,a0005647,free,0.0,USD,2024-07-31,2025-12-27
S000000325,A0003960,free,0.0,EUR,2022-10-31,2024-06-08
S000000326,A0005445,pro,480.51,USD,2024-09-08,2026-01-01
S000000327,A0001903,enterprise,94.48,EUR,2022-06-16,2023-03-02
S000000328,A0004937,enterprise,499.89,EUR,2022-05-29,2022-12-08
S000000329,A0004880,basic,108.56,EUR,2023-01-06,2023-04-07
S000000330,A0005128,basic,105.8,USD,2024-03-13,2024-11-23
S000000331,A0003327,free,524.89,USD,2023-11-08,2024-09-17
S000000332,A0003711,free,27.78,USD,2022-05-12,2022-07-22
S000000333,A0002483,free,0.0,EUR,2023-03-29,2024-10-21
S000000334,A0001445,free,0.0,EUR,2022-07-31,2022-10-25
S000000335,A0005684,basic,485.96,USD,2024-02-13,2025-02-17
S000000336,A0000324,free,100.73,USD,2022-11-17,2023-06-04
S000000337,A0000063,pro,26.66,EUR,2022-08-18,2023-01-20
S000000338,A0002256,enterprise,98.66,USD,2022-12-31,2023-08-13
S000000339,A0001861,free,93.95,USD,2022-04-13,2023-07-07
S000000340,A0002480,enterprise,208.86,USD,2023-07-22,2024-03-26
S000000341,A0001482,enterprise,0.0,USD,2023-12-28,2025-02-07
S000000342,A0005282,free,181.31,EUR,2024-09-09,2025-10-06
S000000343,A0001774,enterprise,31.03,USD,2024-01-21,2024-04-05
S000000344,A0005612,free,491.66,USD,2022-04-24,2023-07-06
S000000345,A0004011,enterprise,481.64,EUR,2024-04-02,2024-07-25
S000000346,A0002537,pro,0.0,EUR,2024-01-17,2024-11-30
S000000347,A0004509,enterprise,548.85,USD,2022-12-04,2024-05-06
S000000348,A0000410,free,27.99,USD,2023-06-16,2024-01-08
S000000349,A0004776,basic,183.25,EUR,2022-05-11,2023-10-20
S000000350,A0001865,enterprise,476.24,USD,2023-06-24,2024-11-25
S000000351,A0000882,pro,29.44,USD,2022-09-13,2023-05-16
S000000352,A0001771,free,107.91,EUR,2023-04-10,2023-06-10
S000000353,A0004593,basic,31.33,EUR,2023-10-05,2025-01-19
S000000354,A0003002,enterprise,0.0,EUR,2024-06-25,2025-04-22
S000000355,A0001196,pro,26.23,EUR,2023-10-08,2025-03-21
S000000356,A0004133,basic,481.33,USD,2024-09-24,2025-02-19
S000000357,A0005206,enterprise,184.76,EUR,2023-09-30,2024-03-31
S000000358,A0005293,pro,27.92,EUR,2023-01-13,2023-11-17
S000000359,A0003597,free,0.0,USD,2023-06-11,2024-02-12
S000000360,A0003245,enterprise,0.0,USD,2024-02-19,2024-05-06
S000000361,A0004277,free,545.02,EUR,2023-08-08,2024-02-17
S000000362,A0004218,free,96.76,EUR,2022-10-22,2024-03-06
S000000363,A0002463,basic,0.0,USD,2022-09-13,2023-11-18
S000000364,A0005112,free,28.46,USD,2022-07-03,2024-01-30
S000000365,A0000741,free,507.23,USD,2023-09-04,2025-03-19
S000000366,A0005940,pro,192.63,EUR,2023-05-23,2023-08-10
S000000367,A0003403,pro,196.85,USD,2023-10-09,2024-06-14
S000000368,A0000360,basic,96.96,USD,2022-08-20,2023-11-05
S000000369,A0005888,free,28.35,EUR,2024-04-20,2025-02-02
S000000370,A0003210,basic,453.67,EUR,2022-10-21,2023-10-05
S000000371,A0000167,pro,0.0,USD,2024-04-28,2025-12-14
S000000372,A0001998,pro,473.28,USD,2022-09-10,2023-12-10
S000000373,A0000199,basic,206.89,USD,2023-09-10,2023-11-22
S000000374,A0003408,free,29.46,USD,2022-12-22,2024-01-24
S000000375,A0000743,basic,200.97,EUR,2022-04-09,2023-01-05
S000000376,A0005120,pro,0.0,EUR,2022-05-07,2023-04-05
S000000377,A0001655,basic,29.97,USD,2024-02-14,2024-10-08
S000000378,A0005691,pro,31.36,EUR,2023-05-24,2024-05-30
S000000379,A0003510,enterprise,179.79,USD,2024-07-21,2025-06-12
S000000380,A0003596,pro,29.77,USD,2024-02-21,2024-10-28
S000000381,A0005491,basic,95.27,EUR,2022-07-18,2023-04-17
S000000382,A0000824,pro,100.03,USD,2022-03-29,2023-07-22
S000000383,A0004829,enterprise,102.11,USD,2023-06-16,2024-09-16
S000000384,A0004829,pro,26.85,EUR,2022-03-28,2022-06-29
S000000385,A0003546,basic,26.61,EUR,2022-06-14,2023-10-23
S000000386,A0003336,enterprise,26.9,USD,2024-08-20,2025-11-07
S000000387,A0002355,free,191.39,USD,2024-07-29,2026-03-07
S000000388,A0005859,basic,543.55,USD,2023-02-27,2024-02-29
S000000389,A0004376,free,0.0,USD,2022-05-02,2023-02-27
S000000390,A0004656,basic,104.83,USD,2023-10-01,2024-06-06
S000000391,A0001634,basic,99.21,USD,2022-01-18,2023-02-07
S000000392,A0004253,basic,462.28,USD,2022-04-05,2023-08-28
S000000393,A0000937,basic,103.53,EUR,2024-02-07,2025-04-29
S000000394,A0002769,basic,209.19,USD,2023-08-08,2025-02-04
S000000395,A0002379,free,95.5,EUR,2023-05-16,2024-01-20
S000000396,A0004479,free,186.52,USD,2024-01-14,2024-06-19
S000000397,A0001781,free,29.79,EUR,2023-01-26,2023-09-05
S000000398,A0001956,pro,464.3,EUR,2024-05-21,2025-06-18
S000000399, A0002648 ,basic,510.46,EUR,2024-07-31,2024-12-12
S000000400,A0001686,enterprise,26.84,USD,2023-07-22,2024-09-25
