account_id,account_name,country,created_date,status
A0000041,Acct-0NPHDP,PL,2021-10-17,churned
A0000042,Acct-33E7YZ,US,2023-06-11,suspended
A0000043,Acct-94LRPS,PL,2022-11-26,churned
A0000044,Acct-5YTG9K,PL,2021-02-23,churned
A0000045,Acct-7GVT0Q,PL,2022-10-09,suspended
A0000046,Acct-92I5YY,US,2021-01-24,active
A0000047,Acct-L5KBFI,US,2024-01-09,suspended
A0000048,Acct-67FSKR,PL,2023-09-21,active
A0000049,Acct-3YDIT4,DE,2024-09-08,churned
A0000050,Acct-TPFD04,DE,2023-01-28,suspended
A0000051,Acct-XVVFFG,FR,2021-06-05,active
A0000052,Acct-XVPWQY,FR,2024-03-22,suspended
A0000053,Acct-OC6INE,FR,2023-12-24,churned
A0000054,Acct-E5P0H8,FR,2021-02-07,active
A0000055,Acct-7KH01Q,DE,2021-08-01,active
A0000056,Acct-5VANJM,US,2024-05-25,suspended
A0000057,Acct-CTZ7NK,PL,2024-08-07,trial
A0000058,Acct-QVU9AK,FR,2022-10-08,suspended
A0000059,Acct-JH6X66,PL,2024-10-09,churned
A0000060,Acct-S2FQIW,FR,2021-02-16,churned
A0000061,Acct-WU3SCV,US,2023-03-27,churned
A0000062,Acct-HY4I7F,PL,2023-08-31,trial
A0000063,Acct-BUPMED,US,2021-04-09,churned
A0000064,Acct-82DRB1,US,2023-02-17,churned
A0000065,Acct-R5BQ0V,FR,2023-03-22,suspended
A0000066,Acct-WEBB3C,FR,2021-08-12,active
A0000067,Acct-JV1OUF,FR,2021-02-27,suspended
A0000068,Acct-BGO560,FR,2022-05-24,suspended
A0000069,Acct-SWWVFE,US,2023-08-06,trial
A0000070,Acct-CNB9PI,US,2021-12-26,trial
A0000071,Acct-6WNYVG,FR,2023-10-16,trial
A0000072,Acct-E33MSU,US,2022-02-11,churned
A0000073,Acct-6C0SAA,FR,2024-09-01,trial
A0000074,Acct-3ML6PO,US,2023-07-10,churned
A0000075,Acct-6HCS91,US,2023-06-14,suspended
A0000076,Acct-YCGDSE,DE,2024-06-05,trial
A0000077,Acct-WRFF9L,FR,2022-01-02,trial
A0000078,Acct-ZHQOJJ,US,2023-08-23,trial
A0000079,Acct-QV592D,PL,2024-04-20,trial
A0000080,Acct-5EKE5O,FR,2023-12-14,suspended
A0000081,Acct-W8XKAQ,PL,2022-02-27,churned
A0000082,Acct-LVWUAQ,DE,2021-12-17,active
A0000083,Acct-NK421G,FR,2021-06-19,active
A0000084,Acct-UK9P6W,US,2024-01-12,suspended
A0000085,Acct-EW7GQJ,US,2021-05-19,suspended
A0000086,Acct-0ZYR0F,US,2023-12-15,trial
A0000087,Acct-2T20WS,DE,2022-01-27,suspended
A0000088,Acct-MGM8KR,PL,2023-02-20,suspended
A0000089,Acct-ZSRDXF,FR,2021-12-21,trial
A0000090,Acct-FX8I28,FR,2021-07-06,churned
A0000091,Acct-CJH09L,FR,2021-08-26,churned
A0000092,Acct-C8FPY0,PL,2023-04-30,active
A0000093,Acct-80WKXH,DE,2021-04-03,churned
A0000094,Acct-BSGA8H,US,2024-07-08,churned
A0000095,Acct-GVKKIF,FR,2024-08-28,suspended
A0000096,Acct-DJWT4J,FR,2024-02-02,churned
A0000097,Acct-LYR443,FR,2024-06-29,active
A0000098,Acct-HWRF2H,PL,2023-01-25,trial
A0000099,Acct-U128WC,PL,2022-12-28,active
A0000100,Acct-0RONWY,DE,2021-08-04,churned
A0000101,Acct-KN2O2R,PL,2023-10-20,churned
A0000102,Acct-B0C4I4,PL,2023-06-21,trial
A0000103,Acct-GUOXES,US,2021-12-23,active
A0000104,Acct-Y16UA0,US,2023-11-20,trial
A0000105,Acct-2VSSLD,PL,2022-07-12,active
A0000106,Acct-OG6QSR,DE,2022-08-28,suspended
A0000107,Acct-4ACWVH,PL,2022-04-25,trial
A0000108,Acct-7D7PJ2,US,2023-12-19,active
A0000109,Acct-03SOQ6,FR,2023-03-19,trial
A0000110,Acct-GTM73W,DE,2024-08-09,active
A0000111,Acct-HLD43K,FR,2021-08-02,suspended
A0000112,Acct-ENGRAE,US,2021-02-06,active
A0000113,Acct-ZIK2DZ,US,2021-03-21,churned
A0000114,Acct-RJJ86T,FR,2023-07-24,suspended
A0000115,Acct-4KC8LE,PL,2024-07-18,suspended
A0000116,Acct-12MK1M,PL,2022-12-20,churned
A0000117,Acct-MZF8BA,PL,2023-07-04,churned
A0000118,Acct-ON91L1,DE,2021-07-02,churned
A0000119,Acct-KMNG11,US,2022-07-19,trial
A0000120,Acct-3RPKIY,US,2021-03-21,churned
A0000121,Acct-DAKYP0,US,2024-02-09,suspended
A0000122,Acct-4G1C5J,US,2021-09-22,suspended
A0000123,Acct-M90VZU,DE,2023-02-26,active
A0000124,Acct-4O9YLS,DE,2021-12-12,suspended
A0000125,Acct-LTWRBZ,FR,2021-02-24,active
A0000126,Acct-1XMH7Q,US,2021-07-01,suspended
A0000127,Acct-92R4VA,FR,2022-06-05,trial
A0000128,Acct-55ZK2L,FR,2023-07-30,trial
A0000129,Acct-01SAKK,DE,2022-10-10,suspended
A0000130,Acct-ZRK5Z5,DE,2022-01-04,trial
A0000131,Acct-AGCT30,FR,2023-12-19,churned
A0000132,Acct-2LZ6PG,US,2022-11-19,suspended
A0000133,Acct-3HKURV,DE,2023-12-05,trial
A0000134,Acct-O4IC0V,FR,2024-07-28,suspended
A0000135,Acct-WX9CNH,US,2023-10-08,active
A0000136,Acct-RNBXBF,US,2021-07-05,suspended
A0000137,Acct-TK2TEY,US,2024-07-02,active
A0000138,Acct-RAWID4,FR,2023-04-05,trial
A0000139,Acct-JTWC5L,PL,2024-04-27,active
A0000140,Acct-YXGJQF,US,2022-10-24,active
A0000141,Acct-LKAPE2,FR,2022-10-09,churned
A0000142,Acct-Q74FW1,US,2021-08-12,active
A0000143,Acct-ZIZ440,PL,2023-12-29,suspended
A0000144,Acct-51R1KY,US,2023-01-11,trial
A0000145,Acct-DGDP7B,PL,2021-10-25,churned
A0000146,Acct-QAIVT8,FR,2024-10-05,trial
A0000147,Acct-V35UB0,US,2024-07-26,churned
A0000148,Acct-HD566V,DE,2022-04-05,churned
A0000149,Acct-YCYNZU,FR,2021-12-27,suspended
A0000150,Acct-OQU20I,PL,2021-05-21,churned
A0000151,Acct-7GQP4S,US,2023-03-25,trial
A0000152,Acct-11KYK9,DE,2022-04-14,suspended
A0000153,Acct-XCYV0Q,PL,2024-01-16,suspended
A0000154,Acct-4I28FR,FR,2022-09-01,active
A0000155,Acct-53MRUX,US,2021-05-30,active
A0000156,Acct-0T9VVQ,PL,2021-01-29,active
A0000157,Acct-XJZSA8,PL,2023-07-20,suspended
A0000158,Acct-PI3YL8,US,2023-08-19,suspended
A0000159,Acct-0RD7JC,US,2023-11-24,churned
A0000160,Acct-2E3723,FR,2024-04-24,churned
A0000161,Acct-Q61QRI,US,2021-04-13,churned
A0000162,Acct-T8K06Y,US,2021-07-19,active
A0000163,Acct-EMCWAZ,DE,2022-02-06,trial
A0000164,Acct-3C6K7Y,DE,2022-03-18,suspended
A0000165,Acct-661DK1,US,2022-06-18,churned
A0000166,Acct-OU37KZ,DE,2024-01-07,active
A0000167,Acct-T3UDRW,PL,2023-09-15,active
A0000168,Acct-AN1ABX,DE,2023-06-01,active
A0000169,Acct-8OHUH1,FR,2022-08-21,active
A0000170,Acct-VPOLBF,DE,2023-03-03,active
A0000171,Acct-3J198Y,FR,2022-10-21,trial
A0000172,Acct-U11T5W,US,2022-11-20,churned
A0000173,Acct-ADE5QC,US,2024-10-12,suspended
A0000174,Acct-KTG9V4,PL,2021-11-16,churned
A0000175,Acct-GKMCW9,FR,2021-05-05,churned
A0000176,Acct-WIGRB6,DE,2023-08-30,suspended
A0000177,Acct-J7M6GL,PL,2021-10-22,trial
A0000178,Acct-OC5J1K,US,2024-09-12,churned
A0000179,Acct-3X5CFK,PL,2023-06-04,trial
A0000180,Acct-H0331D,PL,2021-07-06,trial
A0000181,Acct-TVIR3C,DE,2023-11-03,churned
A0000182,Acct-SB82FG,DE,2023-04-02,trial
A0000183,Acct-FSY3DV,US,2021-12-14,suspended
A0000184,Acct-3QMN52,DE,2023-05-22,suspended
A0000185,Acct-SRPSQ8,PL,2021-11-30,churned
A0000186,Acct-0VBWFB,US,2021-05-09,trial
A0000187,Acct-XEAR9G,PL,2024-07-05,churned
A0000188,Acct-UC0612,US,2022-04-10,churned
A0000189,Acct-FNGPV5,PL,2022-06-14,active
A0000190,Acct-LX4094,DE,2024-01-03,suspended
A0000191,Acct-1OSPKH,PL,2024-10-10,suspended
A0000192,Acct-LRLTPT,US,2023-03-30,trial
A0000193,Acct-4VM5Y1,FR,2023-10-29,active
A0000194,Acct-H7WQXX,DE,2022-02-28,active
A0000195,Acct-283XV5,FR,2023-02-15,suspended
A0000196,Acct-VMSY1E,FR,2022-04-26,suspended
A0000197,Acct-KBQXHY,US,2022-08-01,active
A0000198,Acct-KWVC53,DE,2021-06-27,churned
A0000199,Acct-T547M2,PL,2023-10-31,trial
A0000200,Acct-273OMI,DE,2021-05-22,suspended
A0000201,Acct-LKFFIU,FR,2022-04-29,suspended
A0000202,Acct-VAH2BD,PL,2021-12-06,active
A0000203,Acct-T8E2MM,PL,2022-03-15,trial
A0000204,Acct-JGI1I8,FR,2022-04-17,churned
A0000205,Acct-LDST8L,FR,2021-05-10,trial
A0000206,Acct-XGO3Z1,DE,2023-01-28,suspended
A0000207,Acct-U852Y9,US,2021-03-02,churned
A0000208,Acct-8IK9J4,PL,2023-08-10,suspended
A0000209,Acct-F7VA9Y,DE,2022-11-08,active
A0000210,Acct-MOO8XJ,PL,2022-03-17,trial
A0000211,Acct-GT42FW,FR,2024-04-29,churned
A0000212,Acct-8QK5K2,PL,2022-03-01,suspended
A0000213,Acct-2DW4E6,PL,2022-03-31,churned
A0000214,Acct-OOOOT5,DE,2021-02-11,churned
A0000215,Acct-XMYXAY,FR,2021-10-17,churned
A0000216,Acct-C5C685,US,2021-04-30,trial
A0000217,Acct-4XVRLH,US,2023-06-23,active
A0000218,Acct-978F55,US,2024-07-24,suspended
A0000219,Acct-9D7FDG,US,2023-09-09,trial
A0000220,Acct-H38J7Y,FR,2021-11-29,suspended
A0000221,Acct-ZELA2R,US,2023-02-24,active
A0000222,Acct-MD1TU6,DE,2021-06-22,churned
A0000223,Acct-AHLJKW,DE,2021-08-12,suspended
A0000224,Acct-HSKPP5,FR,2021-03-18,churned
A0000225,Acct-XSCCMP,PL,2023-06-18,churned
A0000226,Acct-JPR2EX,DE,2024-05-28,churned
A0000227,Acct-23ZDXS,US,2021-09-07,suspended
A0000228,Acct-F9QVBK,US,2021-05-23,trial
A0000229,Acct-UT71U1,US,2021-01-02,active
A0000230,Acct-BHO2ME,DE,2021-04-12,trial
A0000231,Acct-IOFUAQ,FR,2021-10-13,active
A0000232,Acct-LHL24C,US,2023-10-24,trial
A0000233,Acct-EN64RV,DE,2021-05-23,active
A0000234,Acct-8YKHXB,US,2021-09-19,active
A0000235,Acct-0XL3QM,DE,2022-01-10,churned
A0000236,Acct-8Z5HP8,DE,2024-07-05,churned
A0000237,Acct-B4YDI1,FR,2023-12-23,suspended
A0000238,Acct-85NDIJ,DE,2022-03-29,suspended
A0000239,Acct-1TBHE1,FR,2021-04-11,suspended
A0000240,Acct-WD8HHT,DE,2023-08-04,churned
A0000241,Acct-5S194R,FR,2024-05-07,active
A0000242,Acct-1E44Z9,US,2021-10-18,active
A0000243,Acct-DKNS9V,PL,2022-05-12,suspended
A0000244,Acct-XUEUYW,PL,2023-09-03,trial
A0000245,Acct-MZ4CMQ,PL,2022-07-28,trial
A0000246,Acct-3XANT9,DE,2024-09-30,active
A0000247,Acct-CWV5IC,PL,2023-03-30,trial
A0000248,Acct-0IAZQV,PL,2024-01-27,active
A0000249,Acct-PNZ4A4,FR,2023-12-05,suspended
A0000250,Acct-KTZWM8,FR,2024-09-15,churned
A0000251,Acct-P97TZM,DE,2022-10-13,active
A0000252,Acct-G16QY1,US,2021-03-07,trial
A0000253,Acct-UQC9N6,PL,2022-11-06,active
A0000254,Acct-8IWNNS,DE,2024-03-14,active
A0000255,Acct-2V2KOV,US,2022-11-02,active
A0000256,Acct-XKXL2T,FR,2022-02-22,churned
A0000257,Acct-UWW9UP,US,2021-06-24,active
A0000258,Acct-P2TZ7Z,US,2024-03-22,churned
A0000259,Acct-SKM80H,DE,2024-01-19,active
A0000260,Acct-8U0MC7,DE,2021-03-22,active
A0000261,Acct-SCE1EG,FR,2024-04-03,churned
A0000262,Acct-3O838F,DE,2022-05-04,trial
A0000263,Acct-6KI6U8,FR,2023-01-16,churned
A0000264,Acct-Y1OZIO,PL,2021-02-03,suspended
A0000265,Acct-ADQW0B,US,2024-03-08,trial
A0000266,Acct-S9ZYZI,DE,2024-04-23,suspended
A0000267,Acct-JNHNNV,PL,2024-04-25,churned
A0000268,Acct-IB3XVD,US,2021-02-02,trial
A0000269,Acct-XOQ4O6,US,2024-03-17,suspended
A0000270,Acct-75WQEV,US,2022-11-01,active
A0000271,Acct-0RIP2V,DE,2022-07-19,trial
A0000272,Acct-6Z7N50,DE,2024-07-07,trial
A0000273,Acct-567ZK7,FR,2023-01-26,suspended
A0000274,Acct-R1FY90,PL,2022-12-02,trial
A0000275,Acct-SU792K,PL,2023-10-23,suspended
A0000276,Acct-FZV6ZV,FR,2022-09-06,active
A0000277,Acct-IKK09U,DE,2022-09-17,trial
A0000278,Acct-CRZ9S1,US,2021-03-26,suspended
A0000279,Acct-4H4D38,DE,2024-05-27,churned
A0000280,Acct-ERS5I5,DE,2024-02-11,churned
A0000281,Acct-Y6JC52,PL,2022-02-03,trial
A0000282,Acct-N0K5MQ,US,2022-12-23,suspended
A0000283,Acct-3FE0BA,FR,2024-08-25,trial
A0000284,Acct-H7TJPL,FR,2023-04-14,suspended
A0000285,Acct-1QLNNK,US,2023-07-20,suspended
A0000286,Acct-X5NYMF,US,2023-12-10,churned
A0000287,Acct-8A537D,DE,2023-07-04,churned
A0000288,Acct-GJWTVN,DE,2023-10-20,trial
A0000289,Acct-3RUU66,DE,2022-05-14,active
A0000290,Acct-N52NUY,PL,2022-04-19,suspended
A0000291,Acct-SGNPRW,US,2023-06-11,active
A0000292,Acct-DVKWA9,PL,2024-02-15,trial
A0000293,Acct-KC5QGK,PL,2021-10-04,active
A0000294,Acct-2K9MOB,FR,2022-09-26,suspended
A0000295,Acct-EE61UX,FR,2022-07-20,active
A0000296,Acct-UIUVM9,DE,2023-04-18,suspended
A0000297,Acct-7SD64X,US,2022-10-14,churned
A0000298,Acct-NWKCP5,FR,2021-06-21,active
A0000299,Acct-7K5BIZ,FR,2021-05-12,churned
A0000300,Acct-J5WIW9,FR,2024-04-15,trial
A0000301,Acct-VY4FJP,DE,2021-04-26,active
A0000302,Acct-8JWV0N,PL,2023-03-11,churned
A0000303,Acct-SM16FZ,FR,2023-06-16,churned
A0000304,Acct-9FR4VR,FR,2023-03-13,churned
A0000305,Acct-B6ERAN,FR,2023-12-07,trial
A0000306,Acct-P00ZF7,FR,2023-08-03,churned
A0000307,Acct-3WCT45,US,2021-01-08,suspended
A0000308,Acct-GZ0T2O,PL,2022-02-28,trial
A0000309,Acct-KQMQD8,FR,2023-12-14,suspended
A0000310,Acct-I61584,FR,2022-07-04,churned
A0000311,Acct-LHA149,US,2023-06-18,trial
A0000312,Acct-RPNOAT,PL,2023-01-01,churned
A0000313,Acct-7Q78K5,FR,2021-10-25,trial
A0000314,Acct-D6GJLL,US,2024-02-05,suspended
A0000315,Acct-71AQO0,US,2023-06-01,trial
A0000316,Acct-56EW13,US,2021-04-03,churned
A0000317,Acct-OQAYX5,US,2023-08-13,trial
A0000318,Acct-7D8RM7,US,2023-11-29,active
A0000319,Acct-XXMK89,FR,2023-09-07,trial
A0000320,Acct-SULYBN,FR,2024-09-12,churned
A0000321,Acct-SBAZXW,FR,2022-03-07,active
A0000322,Acct-M9YST8,PL,2023-02-21,active
A0000323,Acct-NX0IQD,US,2024-03-22,suspended
A0000324,Acct-XHFTX7,US,2021-12-27,active
A0000325,Acct-IYT9TS,PL,2022-02-13,trial
A0000326,Acct-JYLX6A,US,2023-07-20,churned
A0000327,Acct-5EGEPF,DE,2022-01-21,churned
A0000328,Acct-V7G24J,PL,2024-09-23,active
A0000329,Acct-R81RPM,FR,2021-05-06,churned
A0000330,Acct-XY5XT1,DE,2022-11-14,active
A0000331,Acct-AYHTR5,DE,2023-10-30,suspended
A0000332,Acct-DPVI19,US,2024-05-05,suspended
A0000333,Acct-34UHSX,US,2022-03-03,active
A0000334,Acct-3FR5TM,FR,2021-09-10,churned
A0000335,Acct-TLY39Q,US,2023-09-07,trial
A0000336,Acct-1L2AFQ,PL,2023-12-30,trial
A0000337,Acct-HJP8U9,DE,2021-08-14,active
A0000338,Acct-UE1V5X,FR,2024-06-27,churned
A0000339,Acct-EATUUK,DE,2024-06-17,active
A0000340,Acct-9JP0A8,PL,2022-07-12,suspended
A0000341,Acct-DS0S2T,FR,2022-12-26,active
A0000342,Acct-P4DI6K,PL,2021-03-03,suspended
A0000343,Acct-5WOVDJ,PL,2024-05-31,active
A0000344,Acct-IB239U,DE,2023-02-17,trial
A0000345,Acct-KFVLE6,PL,2023-05-14,churned
A0000346,Acct-GZ38YT,FR,2023-10-15,trial
A0000347,Acct-2F0H71,DE,2023-07-31,churned
A0000348,Acct-ME92QK,US,2022-05-25,churned
A0000349,Acct-J2V67Q,DE,2023-09-02,churned
A0000350,Acct-WP9M79,FR,2023-09-03,churned
A0000351,Acct-NV4T23,PL,2022-07-22,trial
A0000352,Acct-J0IVTN,FR,2021-11-04,trial
A0000353,Acct-T8FFLP,DE,2023-09-05,trial
A0000354,Acct-FG4XB5,FR,2024-07-13,churned
A0000355,Acct-T8H8PM,PL,2021-09-25,churned
A0000356,Acct-H7MSBJ,FR,2024-08-03,active
A0000357,Acct-YNUPCU,PL,2024-10-30,trial
A0000358,Acct-YCYUFF,US,2022-01-04,churned
A0000359,Acct-PJQEE0,FR,2023-03-17,suspended
A0000360,Acct-1PSCPJ,PL,2024-02-13,trial
A0000361,Acct-589QCZ,US,2023-02-24,churned
A0000362,Acct-WH3F8R,US,2021-02-07,active
A0000363,Acct-HVYBDS,US,2024-02-10,churned
A0000364,Acct-57CZ4S,DE,2023-01-08,trial
A0000365,Acct-SYGHQJ,PL,2021-09-07,trial
A0000366,Acct-T6L4SC,FR,2023-09-13,churned
A0000367,Acct-DOEXN7,PL,2023-10-27,suspended
A0000368,Acct-E12SBU,FR,2021-03-11,suspended
A0000369,Acct-WJLAVN,US,2024-09-10,trial
A0000370,Acct-L7HGC2,US,2023-07-11,trial
A0000371,Acct-KY7Y5W,DE,2021-11-06,churned
A0000372,Acct-JNU351,PL,2023-05-03,trial
A0000373,Acct-NCY5K8,DE,2023-10-09,suspended
A0000374,Acct-JC817Q,PL,2022-12-15,active
A0000375,Acct-M9L1V3,FR,2023-11-02,churned
A0000376,Acct-ZYCG3O,US,2022-01-16,active
A0000377,Acct-ND7A15,US,2022-11-16,trial
A0000378,Acct-TJQKAV,FR,2021-02-19,active
A0000379,Acct-RJOKRW,FR,2021-03-17,active
A0000380,Acct-XJNJS0,DE,2022-05-01,churned
A0000381,Acct-CE2MXX,FR,2024-03-22,trial
A0000382,Acct-TBETYQ,FR,2021-04-23,trial
A0000383,Acct-TJ05VR,US,2024-10-23,churned
A0000384,Acct-UJTHET,FR,2021-10-15,suspended
A0000385,Acct-6I3G55,US,2022-03-03,suspended
A0000386,Acct-TD0RPJ,DE,2023-03-04,active
A0000387,Acct-3GCZOE,DE,2021-12-27,churned
A0000388,Acct-QFCHEI,DE,2021-11-06,active
A0000389,Acct-2O0RXB,PL,2023-09-30,suspended
A0000390,Acct-MTJ7L7,DE,2024-05-06,churned
A0000391,Acct-ZIO55G,DE,2023-01-15,trial
A0000392,Acct-4XUYZM,FR,2023-11-03,suspended
A0000393,Acct-32HVLY,DE,2023-04-13,churned
A0000394,Acct-ZYXRRC,FR,2022-05-28,active
A0000395,Acct-IK0UDF,DE,2021-08-24,active
A0000396,Acct-V4DF1H,DE,2021-11-08,active
A0000397,Acct-RQV8YB,PL,2024-08-22,churned
A0000398,Acct-F6HRNV,US,2021-12-06,trial
A0000399,Acct-3WJBI0,US,2022-12-12,suspended
A0000400,Acct-J6TUYZ,US,2022-04-26,active
A0000401,Acct-93113A,PL,2024-06-04,active
A0000402,Acct-7ATY76,FR,2023-12-13,trial
A0000403,Acct-8F61Z5,FR,2024-05-15,active
A0000404,Acct-XLPXRG,US,2022-06-21,trial
A0000405,Acct-744L5G,PL,2024-01-30,active
A0000406,Acct-O36L5W,DE,2021-07-22,active
A0000407,Acct-LLZF3S,PL,2022-05-23,trial
A0000408,Acct-X4N3JB,FR,2023-06-01,trial
A0000409,Acct-E1909D,FR,2023-08-24,churned
A0000410,Acct-V92CT4,PL,2022-02-20,trial
A0000411,Acct-KFV5A7,DE,2021-03-17,suspended
A0000412,Acct-I84DH4,US,2024-09-30,active
A0000413,Acct-4M2LL6,FR,2021-06-11,trial
A0000414,Acct-NXT6FA,DE,2023-01-25,trial
A0000415,Acct-HPQWRJ,US,2023-06-23,active
A0000416,Acct-KYTDYR,PL,2022-11-14,active
A0000417,Acct-RQTSMA,US,2021-08-16,suspended
A0000418,Acct-6OMU27,PL,2021-01-31,suspended
A0000419,Acct-J4XT4X,PL,2023-12-13,suspended
A0000420,Acct-JKWHZK,US,2024-06-08,churned
A0000421,Acct-L08QZW,PL,2022-10-20,active
A0000422,Acct-A1QM6W,FR,2023-05-22,churned
A0000423,Acct-J8C28L,US,2022-04-10,trial
A0000424,Acct-2I4IXV,DE,2021-02-08,suspended
A0000425,Acct-8GB1Q3,DE,2023-05-21,churned
A0000426,Acct-R1XFWC,FR,2021-03-09,churned
A0000427,Acct-EZF5L2,US,2022-11-25,active
A0000428,Acct-EG6V4U,DE,2024-07-02,trial
A0000429,Acct-X6N8AB,FR,2021-05-09,suspended
A0000430,Acct-32R510,PL,2023-07-27,trial
A0000431,Acct-8ZZ7S5,US,2021-09-21,trial
A0000432,Acct-IJY3FX,DE,2021-03-07,active
A0000433,Acct-UJW9UD,DE,2022-12-10,active
A0000434,Acct-2JFLGR,FR,2021-03-22,active
A0000435,Acct-HRU2EN,FR,2021-03-29,churned
A0000436,Acct-LY7QX9,US,2022-10-28,trial
A0000437,Acct-N5LHRO,PL,2021-12-22,suspended
A0000438,Acct-UJ0H2N,US,2023-06-13,trial
A0000439,Acct-YKKGR2,FR,2024-05-13,trial
A0000440,Acct-NGD7J2,PL,2023-02-28,suspended
A0000441,Acct-R49LB3,PL,2021-09-04,churned
A0000442,Acct-L134JS,FR,2024-07-08,churned
A0000443,Acct-VQ1TYF,FR,2023-03-24,suspended
A0000444,Acct-WJ8C2S,DE,2022-07-02,active
A0000445,Acct-WWCGQ6,DE,2023-09-02,active
A0000446,Acct-AFU8S8,DE,2024-06-28,suspended
A0000447,Acct-B7ESUJ,FR,2021-08-26,suspended
A0000448,Acct-JSDM53,PL,2023-11-11,suspended
A0000449,Acct-8BHWYX,US,2022-04-19,suspended
A0000450,Acct-ZVHYY5,FR,2021-09-08,suspended
A0000451,Acct-UIHMRT,FR,2023-03-24,trial
A0000452,Acct-2RBX1V,FR,2021-02-19,active
A0000453,Acct-YUF4VW,PL,2023-06-21,trial
A0000454,Acct-QCKOD1,FR,2024-05-04,suspended
A0000455,Acct-D4PJV7,PL,2022-08-02,churned
A0000456,Acct-IP6J6T,PL,2022-04-28,churned
A0000457,Acct-VL9INZ,PL,2021-04-02,trial
A0000458,Acct-XTUQED,PL,2022-11-26,suspended
A0000459,Acct-0I5FV0,DE,2024-04-08,suspended
A0000460,Acct-Y7JBVL,PL,2023-01-27,active
A0000461,Acct-CPMRCX,DE,2022-08-15,churned
A0000462,Acct-VEC44O,FR,2023-01-17,trial
A0000463,Acct-53K12X,FR,2023-07-09,churned
A0000464,Acct-4MDZ9I,US,2022-09-29,suspended
A0000465,Acct-S9N4PJ,FR,2024-02-15,suspended
A0000466,Acct-1HAPHY,FR,2022-05-13,churned
A0000467,Acct-A77F3Z,DE,2023-06-29,active
A0000468,Acct-SRENM6,DE,2022-05-25,active
A0000469,Acct-525BFK,FR,2023-10-05,active
A0000470,Acct-9Y1QZP,FR,2023-10-21,suspended
A0000471,Acct-GIDHMD,US,2021-02-12,active
A0000472,Acct-223RV5,US,2024-07-10,active
A0000473,Acct-O9BJJ3,FR,2022-07-03,churned
A0000474,Acct-WZ6FKS,PL,2022-10-12,churned
A0000475,Acct-BUYK4A,PL,2024-04-07,active
A0000476,Acct-8K572W,US,2023-07-28,suspended
A0000477,Acct-AVGT97,FR,2023-01-18,suspended
A0000478,Acct-RWZIOZ,US,2024-06-29,suspended
A0000479,Acct-AL7FYL,FR,2024-02-28,trial
A0000480,Acct-STEJ4E,FR,2022-11-09,active
A0000481,Acct-VTU2II,US,2023-10-04,active
A0000482,Acct-OJOYO0,US,2022-02-06,active
A0000483,Acct-PCGG33,US,2023-01-28,active
A0000484,Acct-5YGHI3,FR,2023-12-08,trial
A0000485,Acct-WDWFCE,PL,2022-10-08,active
A0000486,Acct-W3TBI2,FR,2021-12-09,trial
A0000487,Acct-B039OS,US,2022-03-29,active
A0000488,Acct-YEOUSV,DE,2022-03-23,active
A0000489,Acct-F5LTHH,PL,2021-08-30,trial
A0000490,Acct-FI9U9K,PL,2024-10-29,trial
