product_id,sku,category,currency,region_code,active,created_date,price
P000052,SKU-5QMIC8U8,widgets,PLN,R04,True,2023-03-04,11.9
P000053,SKU-H96Z6LAV,widgets,PLN,R18,True,2023-09-29,63.2
P000054,SKU-WDUFBVVJ,services,EUR,R11,True,2023-11-02,13.75
P000055,SKU-RH3146MQ,services,USD,R01,True,2024-05-30,22.6
P000056,SKU-K5146AKV,gadgets,EUR,R03,True,2023-06-06,42.16
P000057,SKU-NZC59LZJ,widgets,PLN,R01,True,2023-03-31,37.88
P000058,SKU-4V38JXR5,services,EUR,R24,True,2023-11-22,63.62
P000059,SKU-A8SGQ1QF,widgets,EUR,R08,True,2024-03-29,54.46
P000060,SKU-B1EX53XF,gadgets,EUR,R23,True,2023-07-25,42.17
P000061,SKU-7L2I0ABR,services,EUR,R21,True,2024-10-08,13.96
P000062,SKU-LIGIQFG0,widgets,EUR,R16,True,2023-01-11,35.76
P000063,SKU-W0ER2NUJ,accessories,GBP,R23,True,2023-09-15,26.8
P000064,SKU-PIGOG6B6,services,USD,R08,True,2024-06-09,10.02
P000065,SKU-GSXMI81D,widgets,EUR,R22,True,2023-11-27,51.96
P000066,SKU-C48NC8AW,gadgets,EUR,R03,True,2024-02-06,36.03
P000067,SKU-L8SRO4DF,services,EUR,R17,True,2024-03-08,22.81
P000068,SKU-X5QKYYYF,gadgets,PLN,R05,True,2023-05-28,19.3
P000069,SKU-15JZOHSP,widgets,PLN,R04,True,2024-08-26,10.82
P000070,SKU-2YHN5108,gadgets,EUR,R09,True,2024-05-31,25.02
P000071,SKU-AVHR25AH,gadgets,EUR,R24,True,2024-02-25,29.4
P000072,SKU-MWDQGAKW,widgets,EUR,R21,False,2023-06-12,13.48
P000073,SKU-P7GS40TV,gadgets,USD,R18,True,2024-05-08,44.58
P000074,SKU-LL1Z6YCK,services,EUR,R13,True,2023-01-11,11.49
P000075,SKU-0AIK9DZE,accessories,EUR,R16,True,2024-06-19,6.21
P000076,SKU-GC8C73L7,gadgets,EUR,R13,True,2023-12-29,41.42
P000077,SKU-AFGWZY9O,widgets,PLN,R02,True,2023-08-24,17.43
P000078,SKU-CH4QF3TL,widgets,EUR,R11,True,2023-07-09,20.58
P000079,SKU-D11YSSNV,gadgets,USD,R24,True,2024-02-11,13.43
P000080,SKU-Y3OFOHD3,accessories,PLN,R12,True,2023-02-22,8.47
P000081,SKU-QNNTZ8UM,widgets,USD,R07,False,2024-09-03,47.14
P000082,SKU-ONM1IV27,gadgets,USD,R10,True,2023-02-10,14.68
P000083,SKU-ZRC1MNJT,accessories,GBP,R12,True,2023-06-21,60.13
P000084,SKU-MAN7NV8C,gadgets,EUR,R11,True,2023-08-15,36.03
P000085,SKU-0BRGM5H3,widgets,USD,R07,True,2023-06-16,18.38
P000086,SKU-BO6MCH0W,gadgets,USD,R21,True,2024-01-31,11.57
P000087,SKU-ZYJOS8UR,accessories,EUR,R01,True,2023-10-31,14.3
P000088,SKU-MQHACFP0,widgets,USD,R03,True,2024-07-17,10.72
P000089,SKU-SCGHAM5U,accessories,USD,R03,True,2023-04-30,77.65
P000090,SKU-CAO6PPI1,accessories,EUR,R20,True,2024-05-02,24.5
P000091,SKU-QNUFMO9D,services,PLN,R04,True,2024-10-17,44.26
P000092,SKU-LO4VIFHW,accessories,PLN,R12,True,2024-11-02,10.38
P000093,SKU-PNTBHJKE,gadgets,PLN,R11,True,2024-03-08,24.74
P000094,SKU-43Q5J5Q9,accessories,EUR,R07,True,2023-07-17,45.0
P000095,SKU-UQ1Z7PF5,widgets,PLN,R13,True,2024-04-11,18.16
P000096,SKU-494J8B1F,services,USD,R08,True,2023-09-27,41.21
P000097,SKU-81XNETWG,gadgets,EUR,R06,True,2024-10-06,11.58
P000098,SKU-CGS1GP4A,gadgets,EUR,R24,True,2023-02-08,9.8
P000099,SKU-V88T5ZSS,gadgets,EUR,R04,True,2023-05-01,27.87
P000100,SKU-9PT4HTT0,widgets,PLN,R25,False,2024-04-10,17.68
P000101,SKU-5XI0LAJT,accessories,EUR,R09,True,2024-06-16,32.63
P000102,SKU-KRK26OHJ,gadgets,EUR,R19,True,2023-07-07,6.78
P000103,SKU-WIOCX8MV,services,USD,R23,True,2024-02-16,34.03
P000104,SKU-F838WOOJ,services,EUR,R19,True,2024-07-27,105.53
P000105,SKU-GOC9KO27,widgets,EUR,R12,True,2024-04-15,21.87
P000106,SKU-ZHI0F629,services,EUR,R04,True,2023-09-08,22.66
P000107,SKU-SKDOAWHC,accessories,USD,R01,True,2023-11-10,24.72
P000108,SKU-QHV4UABK,gadgets,USD,R14,True,2023-10-29,7.26
P000109,SKU-EOZ891WU,widgets,USD,R20,True,2023-10-31,28.67
P000110,SKU-QN6WRSCU,widgets,USD,R12,True,2023-01-19,8.47
P000111,SKU-SZXJ3TMM,gadgets,GBP,R21,True,2023-05-16,17.17
P000112,SKU-7JIXERE5,accessories,PLN,R17,True,2024-05-26,46.79
P000113,SKU-NXLVGO2P,services,EUR,R06,True,2024-10-13,14.28
P000114,SKU-SU7NVHPA,services,EUR,R02,True,2023-03-07,29.99
P000115,SKU-EM9G6YR8,accessories,USD,R19,True,2024-03-16,40.76
P000116,SKU-YJMVQ2FV,gadgets,EUR,R11,True,2024-09-17,26.24
P000117,SKU-5S9TK872,services,EUR,R20,True,2023-02-07,9.75
P000118,SKU-LXDBB3L8,accessories,EUR,R02,True,2024-02-28,18.18
P000119,SKU-5ZDCIK86,services,EUR,R18,True,2024-02-19,71.93
P000120,SKU-FRS1UN96,services,EUR,R01,True,2023-05-30,6.59
P000121,SKU-OQH3NRTB,accessories,EUR,R25,True,2023-06-17,18.81
P000122,SKU-J2MXA2RT,accessories,USD,R16,False,2023-11-19,15.94
P000123,SKU-JBEDE4RB,widgets,USD,R21,True,2023-12-22,23.87
P000124,SKU-TNSRE5TA,gadgets,EUR,R05,True,2024-06-05,34.78
P000125,SKU-BZVXFTQQ,gadgets,USD,R17,True,2024-05-31,58.28
P000126,SKU-491GIDFA,accessories,USD,R21,True,2023-12-13,18.88
P000127,SKU-SM72I6KE,accessories,EUR,R01,True,2024-10-14,36.14
P000128,SKU-EQX8LBHU,widgets,EUR,R01,True,2023-11-04,29.96
P000129,SKU-R4EUWN5H,services,EUR,R05,True,2023-01-05,29.51
P000130,SKU-66DFLAVM,gadgets,GBP,R04,False,2023-05-27,15.83
P000131,SKU-HWCLMIMP,accessories,USD,R20,False,2023-09-27,12.2
P000132,SKU-3DBYUF2U,services,USD,R12,True,2024-02-14,11.47
P000133,SKU-S0IE1XQ5,widgets,EUR,R24,True,2023-01-28,14.1
P000134,SKU-8WCH5D0A,accessories,EUR,R09,True,2023-02-17,26.92
P000135,SKU-4KIHQ126,gadgets,USD,R22,True,2023-09-27,35.04
P000136,SKU-J1B4F7X9,services,EUR,R08,False,2023-09-03,26.95
P000137,SKU-C98Q2ZO4,services,EUR,R20,True,2024-01-25,15.97
P000138,SKU-7ZHVZAXS,widgets,EUR,R20,True,2023-02-25,65.6
P000139,SKU-IP268YYN,gadgets,EUR,R04,True,2024-03-04,55.22
P000140,SKU-QNSUFJE9,services,EUR,R11,True,2023-01-12,17.95
P000141,SKU-FCPSMBS7,gadgets,USD,R16,True,2023-05-27,13.54
P000142,SKU-3N3YU3KD,widgets,PLN,R06,True,2023-09-22,24.0
P000143,SKU-ETTFV5CD,gadgets,EUR,R15,True,2024-07-10,47.48
P000144,SKU-YH0PCPH5,services,EUR,R13,True,2024-05-28,27.1
P000145,SKU-AT4001IH,widgets,PLN,R10,True,2023-11-22,31.0
P000146,SKU-JFRCZ6SS,services,EUR,R08,True,2024-03-09,19.55
P000147,SKU-AYQCU2EA,gadgets,EUR,R13,False,2023-11-07,29.19
P000148,SKU-DLU13LXZ,services,EUR,R02,True,2024-04-13,56.08
P000149,SKU-3TFC4OJF,accessories,USD,R06,True,2023-10-09,19.22
P000150,SKU-8GO4DA15,accessories,USD,R18,True,2023-08-21,24.19
P000151,SKU-KB1CSN91,services,EUR,R02,False,2024-07-11,25.85
P000152,SKU-B1CACW41,gadgets,EUR,R03,True,2024-06-07,26.32
P000153,SKU-8THUVX3B,accessories,EUR,R24,True,2024-08-04,9.51
P000154,SKU-BE68ZGP3,services,USD,R09,True,2023-04-05,7.2
P000155,SKU-12H4AQ8L,gadgets,PLN,R05,True,2023-03-08,12.04
P000156,SKU-DWWJEDHD,services,EUR,R10,True,2023-05-18,24.55
P000157,SKU-FID6PBY2,accessories,USD,R07,False,2024-06-28,30.95
P000158,SKU-8H9ZE6XR,accessories,EUR,R08,True,2024-08-23,16.14
P000159,SKU-NXAHD0WL,gadgets,PLN,R25,True,2024-05-10,50.72
P000160,SKU-2FN31BI8,gadgets,EUR,R17,True,2024-08-07,20.37
P000161,SKU-UO9XTP74,services,USD,R05,True,2023-12-28,22.47
P000162,SKU-0N3J82XF,gadgets,USD,R17,True,2023-02-08,19.76
P000163,SKU-MF3EFSVN,gadgets,USD,R22,True,2023-05-18,24.06
P000164,SKU-VUFHBNOZ,gadgets,EUR,R13,True,2023-09-25,33.88
P000165,SKU-RRY09SV8,accessories,EUR,R19,False,2024-01-10,33.1
P000166,SKU-Z0F7A23N,widgets,EUR,R03,True,2024-08-30,12.95
P000167,SKU-0T24JIK5,services,EUR,R17,True,2023-02-02,55.38
P000168,SKU-R53SZ1YX,widgets,USD,R01,True,2023-11-07,11.51
P000169,SKU-OF16DDHO,gadgets,PLN,R19,True,2023-02-01,23.28
P000170,SKU-M8WUZJX5,services,EUR,R09,True,2024-10-06,18.83
P000171,SKU-42A4RUK8,gadgets,USD,R16,True,2024-10-01,11.83
P000172,SKU-QHKRL07Q,gadgets,EUR,R05,True,2024-07-14,21.22
P000173,SKU-32OE3CNG,services,EUR,R11,True,2024-09-28,14.23
P000174,SKU-F6YWPN7V,widgets,EUR,R13,True,2023-01-14,23.19
P000175,SKU-W025RP1S,services,EUR,R16,True,2024-09-28,28.27
P000176,SKU-421RSQT4,widgets,USD,R25,True,2023-06-24,53.69
P000177,SKU-MV5NOLM8,services,EUR,R02,False,2024-01-31,26.69
P000178,SKU-856W67I7,gadgets,USD,R18,False,2023-11-07,15.38
P000179,SKU-O8FEU30P,widgets,EUR,R11,True,2023-06-22,17.55
P000180,SKU-S69ACDC6,widgets,USD,R19,True,2023-08-08,24.14
P000181,SKU-RFLEY21A,gadgets,PLN,R10,True,2024-09-05,23.48
P000182,SKU-N70O7DY1,accessories,EUR,R12,True,2024-11-14,53.29
P000183,SKU-WE5GOKKJ,gadgets,EUR,R12,True,2023-04-12,51.28
P000184,SKU-HH7F4O93,gadgets,EUR,R08,True,2024-04-13,17.9
P000185,SKU-36C9PCRI,widgets,EUR,R24,True,2023-08-05,15.97
P000186,SKU-F28Z6RR2,services,EUR,R06,True,2024-05-31,4.79
P000187,SKU-PPSFWX1Q,gadgets,EUR,R24,True,2023-06-08,15.97
P000188,SKU-X3UXLNCX,gadgets,EUR,R10,True,2023-10-07,12.34
P000189,SKU-6KDKM53T,gadgets,EUR,R18,True,2024-06-30,17.94
P000190,SKU-KLAIQLQU,widgets,EUR,R15,True,2024-02-19,28.08
P000191,SKU-B077JD2G,widgets,USD,R10,True,2024-02-11,24.69
P000192,SKU-2CE8VJ14,accessories,PLN,R24,True,2023-04-08,21.8
P000193,SKU-MKO0R27Z,widgets,EUR,R02,True,2024-04-18,25.02
P000194,SKU-E6CFCMWE,services,EUR,R17,True,2024-08-26,20.58
P000195,SKU-91JY4BQE,accessories,PLN,R06,True,2024-03-11,24.98
P000196,SKU-M6MUUJLT,widgets,EUR,R04,True,2023-06-18,3.19
P000197,SKU-QVFVOKZ3,gadgets,EUR,R02,True,2023-11-03,18.89
P000198,SKU-1ZDK27UM,accessories,USD,R06,True,2024-09-01,20.77
P000199,SKU-312WJWCI,services,EUR,R05,True,2024-10-21,18.09
P000200,SKU-3CIRKUXN,gadgets,USD,R06,True,2024-01-01,19.48
P000201,SKU-XQ1OHYSW,accessories,USD,R03,True,2024-06-28,33.85
P000202,SKU-1KV10D3I,widgets,EUR,R21,True,2023-08-12,15.5
P000203,SKU-RGSCMSXI,gadgets,EUR,R08,True,2023-03-13,83.13
P000204,SKU-1BKFECWE,gadgets,EUR,R06,True,2024-03-28,33.55
P000205,SKU-DBSRTRJF,gadgets,USD,R10,True,2023-11-13,22.11
P000206,SKU-SQW7T1G0,widgets,EUR,R10,True,2023-03-23,19.61
P000207,SKU-J39JEAPB,gadgets,EUR,R08,True,2024-07-24,21.07
P000208,SKU-ZLSHHD4J,gadgets,EUR,R24,True,2024-01-15,12.82
P000209,SKU-U9Y3A4B7,widgets,EUR,R23,True,2023-09-04,20.97
P000210,SKU-G8D3ND7U,gadgets,EUR,R23,True,2023-03-29,26.24
P000211,SKU-KCILU2SO,accessories,EUR,R09,True,2023-03-17,31.43
P000212,SKU-O88FJET8,gadgets,EUR,R20,True,2024-09-20,31.43
P000213,SKU-QMYEXM10,gadgets,USD,R25,False,2024-06-06,18.82
P000214,SKU-39XVEZ66,services,EUR,R13,True,2024-02-16,9.49
P000215,SKU-9G7QB6V1,widgets,USD,R13,True,2024-08-20,14.86
P000216,SKU-TTUZ5JN7,accessories,EUR,R07,True,2024-10-07,58.4
P000217,SKU-AS3KF6V3,widgets,EUR,R09,True,2023-03-17,38.0
P000218,SKU-AHW1VCWW,services,EUR,R18,True,2023-10-30,27.71
P000219,SKU-JFGXLSEO,gadgets,EUR,R04,True,2023-01-09,14.06
P000220,SKU-HAWX9QXV,gadgets,PLN,R14,True,2023-11-01,22.25
P000221,SKU-86YJ7H10,services,EUR,R15,True,2024-09-27,10.45
P000222,SKU-35C8N2M8,accessories,EUR,R07,True,2023-04-11,15.94
P000223,SKU-HGY4E2FU,services,EUR,R17,True,2023-07-10,19.16
P000224,SKU-VBPCXN1F,widgets,EUR,R02,True,2023-01-10,17.87
P000225,SKU-DS4CSH1K,gadgets,EUR,R08,True,2024-06-14,39.41
P000226,SKU-Q99YYCKY,services,EUR,R16,True,2023-04-19,9.48
P000227,SKU-NILYOUGS,widgets,EUR,R12,True,2024-04-01,13.21
P000228,SKU-BAEMVHOR,services,PLN,R07,True,2024-05-03,9.73
P000229,SKU-BAIM4W4G,services,USD,R01,True,2024-10-19,10.57
P000230,SKU-JLOXLK57,widgets,USD,R07,True,2024-04-29,23.91
P000231,SKU-13WZ6FEM,gadgets,EUR,R12,True,2023-04-22,8.5
P000232,SKU-WPJMZD7T,accessories,EUR,R10,True,2023-05-30,34.89
P000233,SKU-IKFJ9YMG,accessories,EUR,R06,True,2023-06-01,19.14
P000234,SKU-8I4T5R35,widgets,EUR,R11,True,2024-08-29,23.13
P000235,SKU-XUSUBFHY,widgets,USD,R01,True,2024-10-03,26.94
P000236,SKU-MACQTMFO,widgets,EUR,R06,True,2023-06-08,17.11
P000237,SKU-NZHY91MZ,gadgets,USD,R25,True,2023-11-03,41.24
P000238,SKU-NN2KKF8D,gadgets,EUR,R11,True,2023-12-22,19.75
P000239,SKU-PWXSO9P2,gadgets,EUR,R25,True,2024-11-28,31.7
P000240,SKU-HKEUEJR3,gadgets,EUR,R21,True,2023-01-30,19.7
P000241,SKU-RGIIAP07,widgets,EUR,R02,True,2023-12-09,26.43
P000242,SKU-5XGDN96G,widgets,EUR,R22,True,2023-07-10,26.25
P000243,SKU-1NY4E5LT,services,EUR,R19,True,2023-10-06,25.79
P000244,SKU-3CC7H1BL,gadgets,EUR,R15,True,2024-04-16,12.37
P000245,SKU-2TZXIPHI,accessories,USD,R08,True,2024-02-20,28.83
P000246,SKU-11OPPAB9,gadgets,USD,R09,True,2024-07-05,18.33
P000247,SKU-ZPCF4CHB,accessories,EUR,R02,True,2024-05-02,32.4
P000248,SKU-0LKGLBJE,gadgets,EUR,R05,True,2024-06-14,6.1
P000249,SKU-750MX4X4,accessories,USD,R02,True,2024-06-18,9.22
P000250,SKU-MNRONA8A,accessories,EUR,R10,True,2023-02-15,27.61
P000251,SKU-FHK7E9QH,services,EUR,R17,True,2024-04-24,67.88
P000252,SKU-D9OT8D32,widgets,EUR,R02,True,2023-12-02,36.64
P000253,SKU-23LZFRPY,gadgets,EUR,R17,True,2024-06-12,14.74
P000254,SKU-S0FK1VJE,accessories,EUR,R13,False,2023-04-08,8.04
P000255,SKU-5DGVG1IE,gadgets,PLN,R05,True,2024-07-02,34.66
P000256,SKU-JN9M1VVG,widgets,USD,R11,True,2023-02-05,21.15
P000257,SKU-4484X226,accessories,EUR,R14,False,2024-07-15,31.64
P000258,SKU-7SKU8DOJ,gadgets,EUR,R22,True,2023-10-13,23.79
P000259,SKU-6BGAKTJ3,accessories,EUR,R14,True,2023-05-02,22.6
P000260,SKU-9LAI2TGG,accessories,EUR,R22,False,2023-12-01,131.0
P000261,SKU-UPVYUKXI,widgets,EUR,R06,True,2024-06-05,22.12
P000262,SKU-K00LWW5G,services,PLN,R19,False,2024-09-02,20.18
P000263,SKU-2OHEIXXZ,accessories,USD,R21,True,2023-03-02,20.64
P000264,SKU-DL8O83DF,accessories,EUR,R03,True,2024-06-13,15.64
P000265,SKU-D5J0TWFK,accessories,EUR,R07,True,2023-10-27,40.21
P000266,SKU-RLDUR8C4,accessories,USD,R05,True,2024-07-06,17.95
P000267,SKU-2I3UA0R8,gadgets,EUR,R18,True,2023-10-06,32.51
P000268,SKU-J03BCTM5,accessories,EUR,R12,True,2024-05-18,26.33
P000269,SKU-CD7V3VS9,widgets,EUR,R13,True,2024-05-24,46.13
P000270,SKU-IX2BCDSD,widgets,PLN,R25,True,2024-04-13,28.56
P000271,SKU-VY6HHZUG,accessories,EUR,R06,True,2024-05-31,10.72
P000272,SKU-VXEMDYMI,accessories,EUR,R10,True,2023-04-19,10.02
P000273,SKU-9XS9SMNB,gadgets,EUR,R11,True,2024-05-01,51.68
P000274,SKU-2JMX1E4O,services,USD,R13,True,2023-01-06,15.41
P000275,SKU-DT4PNLW2,accessories,EUR,R19,True,2024-05-21,10.05
P000276,SKU-KFN1G0JE,gadgets,PLN,R17,True,2023-02-16,14.85
P000277,SKU-VKBCXXI1,gadgets,EUR,R03,True,2023-06-22,47.41
P000278,SKU-98CE97B4,services,USD,R20,True,2024-07-02,9.47
P000279,SKU-Z51N6YLU,accessories,USD,R25,True,2024-02-06,13.2
P000280,SKU-XNG9UPOX,gadgets,USD,R20,False,2024-03-02,14.88
P000281,SKU-S5X9NXYC,gadgets,EUR,R20,True,2023-10-26,10.48
P000282,SKU-EPG5OYPY,gadgets,USD,R03,True,2023-08-14,10.91
P000283,SKU-X3J99R7R,accessories,USD,R05,True,2024-08-09,8.93
P000284,SKU-FTEXAIE8,widgets,EUR,R19,True,2024-01-16,16.83
P000285,SKU-KHDLG9F8,services,PLN,R08,False,2024-10-03,17.94
P000286,SKU-B1RDB7ND,widgets,USD,R01,True,2023-07-03,14.74
P000287,SKU-UUA8HMMM,services,USD,R02,True,2023-07-24,8.23
P000288,SKU-ELHYRN4S,widgets,EUR,R03,True,2023-05-26,47.09
P000289,SKU-OEH473YE,services,USD,R02,True,2023-08-23,10.0
P000290,SKU-CLAT5XIE,accessories,EUR,R03,False,2023-01-11,26.23
P000291,SKU-6OGNR9LX,widgets,EUR,R01,True,2023-09-19,11.65
P000292,SKU-089ZHIPS,widgets,EUR,R18,True,2023-11-21,33.15
P000293,SKU-ITHTZ6KJ,accessories,EUR,R24,True,2023-10-03,39.39
P000294,SKU-08NHU84Z,gadgets,USD,R23,True,2023-05-21,13.11
P000295,SKU-BQDMKE56,services,PLN,R07,True,2023-01-11,7.0
P000296,SKU-CHL3KY2X,gadgets,EUR,R07,True,2024-06-14,33.7
P000297,SKU-7SJPFKPZ,gadgets,USD,R02,False,2024-04-06,68.41
P000298,SKU-XZHT0K2K,accessories,EUR,R20,True,2024-09-15,28.49
P000299,SKU-COEQVOI8,gadgets,USD,R17,True,2024-02-27,24.44
P000300,SKU-TYC3SSM1,widgets,EUR,R20,True,2024-02-15,36.3
P000301,SKU-1SIU0DAA,widgets,USD,R20,True,2023-06-22,35.13
P000302,SKU-862C7NJV,gadgets,EUR,R25,True,2023-09-21,13.5
P000303,SKU-POGL3FVW,widgets,USD,R05,True,2023-05-13,14.95
P000304,SKU-VS20XWRO,services,EUR,R17,True,2023-01-31,32.03
P000305,SKU-4JC11QK3,accessories,EUR,R13,True,2023-11-19,20.36
P000306,SKU-9F5QLPW5,services,EUR,R19,True,2023-12-16,48.91
P000307,SKU-X1E8ORRO,widgets,USD,R10,True,2023-03-24,14.55
P000308,SKU-S1DNFGGO,services,EUR,R16,False,2023-09-10,34.83
P000309,SKU-SGZUITNE,widgets,EUR,R04,True,2023-05-24,27.26
P000310,SKU-NJBN59MQ,gadgets,PLN,R10,True,2023-07-16,20.58
P000311,SKU-8D0SSTHZ,accessories,EUR,R21,True,2024-07-04,44.95
P000312,SKU-1CYS3EPN,accessories,EUR,R25,True,2024-08-23,33.38
P000313,SKU-PH9BD6KB,widgets,USD,R15,True,2023-11-07,12.15
P000314,SKU-JAZK3L22,gadgets,EUR,R07,True,2023-07-02,32.59
P000315,SKU-B34LDEEW,gadgets,USD,R13,True,2024-06-20,50.65
P000316,SKU-9NCGUKZA,widgets,GBP,R07,True,2023-05-07,20.53
P000317,SKU-KGVFANAJ,gadgets,EUR,R21,True,2023-11-01,19.12
P000318,SKU-IYEUWB3G,services,PLN,R15,True,2023-08-17,14.85
P000319,SKU-SP8JRAVQ,gadgets,EUR,R05,True,2024-11-17,22.02
P000320,SKU-BJ45XG5C,accessories,EUR,R20,True,2023-03-17,33.51
P000321,SKU-I6E8IKRO,services,EUR,R11,False,2023-04-26,13.59
P000322,SKU-1Y37GNAE,services,USD,R04,True,2024-10-29,9.9
P000323,SKU-KK9RF2QY,accessories,EUR,R10,False,2023-02-23,17.72
P000324,SKU-2A3EIHIK,widgets,USD,R22,False,2024-02-03,9.7
P000325,SKU-ZK1JWT4G,accessories,EUR,R05,True,2023-05-04,30.38
P000326,SKU-XJX24K7S,accessories,EUR,R20,True,2023-07-19,17.18
P000327,SKU-XWEXNCLA,accessories,USD,R02,True,2024-06-25,7.74
P000328,SKU-0103FX7U,accessories,PLN,R08,True,2023-09-08,18.01
P000329,SKU-MCXEZE3I,gadgets,PLN,R20,True,2023-01-18,19.78
P000330,SKU-ZLHUAH5P,services,GBP,R23,True,2024-11-07,29.06
P000331,SKU-PJTVXE4F,accessories,EUR,R17,True,2024-03-06,20.34
P000332,SKU-C7JOBQ2L,services,USD,R25,True,2024-04-05,68.12
P000333,SKU-QXORITTS,services,USD,R06,True,2023-04-27,16.26
P000334,SKU-Z2LS384K,accessories,GBP,R10,True,2024-02-10,21.38
P000335,SKU-55OX48ZL,accessories,EUR,R11,True,2024-11-21,20.87
P000336,SKU-EIR3MCZC,widgets,USD,R06,True,2024-10-25,18.74
P000337,SKU-X7QYJRSW,gadgets,EUR,R18,True,2023-04-03,24.18
P000338,SKU-P65J80Q3,gadgets,EUR,R09,True,2023-08-23,30.71
P000339,SKU-FVIOG7YN,widgets,PLN,R25,True,2024-08-28,49.6
P000340,SKU-NMC815N8,accessories,EUR,R16,True,2024-03-28,8.66
P000341,SKU-FZ5W499B,accessories,EUR,R08,True,2023-10-22,16.34
P000342,SKU-4QE1SHKK,services,EUR,R05,True,2023-08-30,16.97
P000343,SKU-TMF1ERAG,widgets,EUR,R09,True,2023-06-03,38.97
P000344,SKU-CAGX1AMT,services,EUR,R21,True,2023-04-09,17.92
P000345,SKU-QF9CQJQG,gadgets,EUR,R18,True,2023-01-15,7.12
P000346,SKU-95W90PWX,services,EUR,R12,False,2023-10-21,23.4
