refund_id,payment_id,refund_amount,created_date
REF0000000744,PAY0000000744,31.09,2024-10-06
REF0000000751,PAY0000000751,2.98,2023-02-10
REF0000000753,PAY0000000753,16.8,2024-07-16
REF0000000760,PAY0000000760,21.64,2023-04-07
REF0000000765,PAY0000000765,13.33,2023-06-23
REF0000000768,PAY0000000768,7.64,2024-09-16
REF0000000773,PAY0000000773,10.09,2024-06-14
REF0000000775,PAY0000000775,28.3,2023-05-17
REF0000000785,PAY0000000785,4.14,2024-04-28
REF0000000787,PAY0000000787,23.2,2024-08-28
REF0000000789,PAY0000000789,25.94,2024-12-22
REF0000000797,PAY0000000797,12.36,2024-07-15
REF0000000800,PAY0000000800,15.03,2024-01-14
REF0000000803,PAY0000000803,7.62,2024-10-14
REF0000000817,PAY0000000817,30.29,2025-03-03
REF0000000823,PAY0000000823,23.7,2024-01-12
REF0000000832,PAY0000000832,18.07,2024-12-03
REF0000000837,PAY0000000837,14.13,2024-03-01
REF0000000841,PAY0000000841,17.84,2023-12-07
REF0000000860,PAY0000000860,61.28,2023-07-24
REF0000000865,PAY0000000865,27.18,2024-06-20
REF0000000866,PAY0000000866,120.36,2023-06-06
REF0000000870,PAY0000000870,2.99,2023-07-09
REF0000000889,PAY0000000889,5.39,2025-01-12
REF0000000899,PAY0000000899,18.67,2024-05-20
REF0000000902,PAY0000000902,8.45,2025-04-06
REF0000000903,PAY0000000903,16.06,2025-03-30
REF0000000904,PAY0000000904,16.72,2023-11-24
REF0000000913,PAY0000000913,15.7,2023-08-13
REF0000000914,PAY0000000914,25.55,2023-10-22
REF0000000932,PAY0000000932,22.42,2024-07-01
REF0000000934,PAY0000000934,46.42,2025-03-28
REF0000000945,PAY0000000945,24.33,2023-04-10
REF0000000947,PAY0000000947,8.05,2025-03-30
REF0000000954,PAY0000000954,73.04,2025-03-13
REF0000000959,PAY0000000959,3.19,2024-02-29
REF0000000961,PAY0000000961,5.21,2024-10-01
REF0000000963,PAY0000000963,57.4,2025-06-10
REF0000000966,PAY0000000966,55.93,2023-09-27
REF0000000972,PAY0000000972,23.35,2025-01-13
REF0000000975,PAY0000000975,23.22,2024-02-20
REF0000000982,PAY0000000982,10.68,2024-10-30
REF0000000983,PAY0000000983,11.42,2024-07-13
REF0000000991,PAY0000000991,2.47,2025-06-04
REF0000000992,PAY0000000992,15.56,2023-01-30
REF0000001000,PAY0000001000,19.97,2024-02-22
REF0000001002,PAY0000001002,8.82,2023-09-21
REF0000001007,PAY0000001007,2.58,2025-01-26
REF0000001009,PAY0000001009,34.67,2024-02-06
REF0000001010,PAY0000001010,9.05,2023-10-26
REF0000001012,PAY0000001012,2.9,2023-12-15
REF0000001019,PAY0000001019,37.96,2025-01-27
REF0000001023,PAY0000001023,8.13,2023-02-10
REF0000001026,PAY0000001026,41.23,2024-08-11
REF0000001031,PAY0000001031,9.68,2025-03-14
REF0000001037,PAY0000001037,23.9,2023-10-08
REF0000001060,PAY0000001060,44.99,2024-03-20
REF0000001064,PAY0000001064,13.84,2024-07-04
REF0000001068,PAY0000001068,29.54,2023-05-12
REF0000001077,PAY0000001077,9.42,2025-04-27
REF0000001079,PAY0000001079,4.94,2025-06-25
REF0000001085,PAY0000001085,4.6,2023-07-10
REF0000001101,PAY0000001101,10.21,2025-04-16
REF0000001107,PAY0000001107,7.57,2024-08-03
REF0000001111,PAY0000001111,86.69,2024-12-10
REF0000001113,PAY0000001113,2.8,2024-07-31
REF0000001124,PAY0000001124,18.41,2025-04-11
REF0000001129,PAY0000001129,1.54,2023-12-23
REF0000001131,PAY0000001131,41.54,2023-08-19
REF0000001132,PAY0000001132,3.7,2023-07-24
REF0000001138,PAY0000001138,9.88,2025-05-26
REF0000001143,PAY0000001143,7.49,2024-01-08
REF0000001148,PAY0000001148,41.54,2024-08-08
REF0000001149,PAY0000001149,9.36,2024-12-07
REF0000001156,PAY0000001156,22.28,2024-07-08
REF0000001162,PAY0000001162,24.4,2024-08-03
REF0000001164,PAY0000001164,33.98,2024-08-22
REF0000001172,PAY0000001172,5.44,2023-06-18
REF0000001178,PAY0000001178,27.84,2024-07-13
REF0000001179,PAY0000001179,40.53,2023-03-14
REF0000001180,PAY0000001180,2.42,2023-10-13
REF0000001181,PAY0000001181,41.75,2024-01-07
REF0000001186,PAY0000001186,28.64,2023-11-19
REF0000001203,PAY0000001203,15.4,2024-01-21
REF0000001204,PAY0000001204,3.65,2024-08-21
REF0000001206,PAY0000001206,5.92,2023-10-11
REF0000001215,PAY0000001215,54.22,2023-04-10
REF0000001216,PAY0000001216,15.2,2024-03-02
REF0000001217,PAY0000001217,59.32,2024-09-28
REF0000001234,PAY0000001234,9.54,2023-04-15
REF0000001236,PAY0000001236,68.81,2025-05-10
REF0000001237,PAY0000001237,23.57,2024-01-08
REF0000001239,PAY0000001239,22.47,2023-09-25
REF0000001264,PAY0000001264,17.27,2023-11-26
REF0000001284,PAY0000001284,10.29,2023-05-17
REF0000001285,PAY0000001285,16.76,2024-07-17
REF0000001314,PAY0000001314,19.72,2025-02-28
REF0000001330,PAY0000001330,12.25,2024-03-04
REF0000001333,PAY0000001333,89.97,2024-08-02
REF0000001340,PAY0000001340,2.68,2024-01-15
REF0000001357,PAY0000001357,28.01,2024-06-10
REF0000001362,PAY0000001362,14.34,2023-07-20
REF0000001368,PAY0000001368,15.86,2024-09-13
REF0000001375,PAY0000001375,24.77,2023-10-04
REF0000001376,PAY0000001376,58.21,2023-07-17
REF0000001377,PAY0000001377,12.78,2023-03-19
REF0000001381,PAY0000001381,8.15,2024-03-09
REF0000001385,PAY0000001385,6.06,2023-09-22
REF0000001391,PAY0000001391,17.74,2025-02-08
REF0000001395,PAY0000001395,7.86,2024-06-01
REF0000001397,PAY0000001397,22.77,2025-02-17
REF0000001400,PAY0000001400,22.01,2023-02-26
REF0000001421,PAY0000001421,15.17,2023-02-04
REF0000001428,PAY0000001428,46.88,2023-08-07
REF0000001433,PAY0000001433,159.7,2025-02-27
REF0000001456,PAY0000001456,16.8,2023-08-09
REF0000001461,PAY0000001461,9.54,2025-05-03
REF0000001462,PAY0000001462,20.63,2023-07-09
REF0000001466,PAY0000001466,8.11,2023-05-14
REF0000001471,PAY0000001471,19.86,2023-09-10
REF0000001472,PAY0000001472,5.85,2025-06-26
REF0000001477,PAY0000001477,9.81,2023-06-28
REF0000001483,PAY0000001483,41.91,2025-07-07
REF0000001488,PAY0000001488,22.89,2023-12-11
REF0000001491,PAY0000001491,14.72,2023-12-15
REF0000001493,PAY0000001493,19.08,2024-03-27
REF0000001504,PAY0000001504,29.67,2023-12-15
REF0000001510,PAY0000001510,25.48,2024-01-27
REF0000001511,PAY0000001511,69.31,2023-02-17
REF0000001513,PAY0000001513,95.45,2023-09-06
REF0000001518,PAY0000001518,9.93,2023-05-26
REF0000001522,PAY0000001522,9.73,2024-05-19
REF0000001523,PAY0000001523,24.55,2023-07-20
REF0000001526,PAY0000001526,7.92,2025-06-11
REF0000001530,PAY0000001530,18.01,2024-03-16
REF0000001533,PAY0000001533,20.99,2024-05-31
REF0000001536,PAY0000001536,86.64,2024-07-30
REF0000001544,PAY0000001544,13.53,2025-05-05
REF0000001545,PAY0000001545,17.06,2023-11-12
REF0000001550,PAY0000001550,5.16,2023-09-19
REF0000001557,PAY0000001557,13.07,2024-04-20
REF0000001572,PAY0000001572,28.84,2023-11-30
REF0000001577,PAY0000001577,29.36,2024-12-13
REF0000001589,PAY0000001589,43.95,2024-08-17
REF0000001603,PAY0000001603,6.76,2023-08-18
REF0000001604,PAY0000001604,25.37,2025-04-29
REF0000001609,PAY0000001609,5.01,2023-10-21
REF0000001626,PAY0000001626,5.7,2025-05-22
REF0000001629,PAY0000001629,24.43,2024-09-15
REF0000001635,PAY0000001635,29.48,2023-09-03
REF0000001637,PAY0000001637,18.79,2024-04-26
REF0000001662,PAY0000001662,4.12,2023-10-04
REF0000001670,PAY0000001670,30.0,2023-06-21
REF0000001683,PAY0000001683,15.72,2024-12-01
REF0000001687,PAY0000001687,12.22,2023-09-21
REF0000001689,PAY0000001689,19.69,2025-06-21
REF0000001697,PAY0000001697,21.23,2024-10-28
REF0000001702,PAY0000001702,6.61,2024-08-30
REF0000001707,PAY0000001707,59.28,2023-07-04
REF0000001730,PAY0000001730,36.29,2024-05-23
REF0000001738,PAY0000001738,13.25,2025-06-23
REF0000001746,PAY0000001746,32.13,2024-12-18
REF0000001753,PAY0000001753,66.09,2024-09-10
REF0000001769,PAY0000001769,63.53,2023-08-14
REF0000001773,PAY0000001773,17.43,2023-09-13
REF0000001785,PAY0000001785,23.22,2023-09-11
REF0000001793,PAY0000001793,67.81,2024-10-02
REF0000001796,PAY0000001796,5.98,2024-06-05
REF0000001801,PAY0000001801,6.03,2024-04-29
REF0000001817,PAY0000001817,14.72,2024-05-10
REF0000001820,PAY0000001820,3.72,2025-06-06
REF0000001822,PAY0000001822,5.85,2024-10-15
REF0000001826,PAY0000001826,23.92,2023-09-23
REF0000001834,PAY0000001834,8.83,2023-12-27
REF0000001837,PAY0000001837,4.99,2024-02-13
REF0000001854,PAY0000001854,30.75,2023-07-19
REF0000001865,PAY0000001865,7.83,2023-08-31
REF0000001870,PAY0000001870,43.62,2023-11-07
REF0000001877,PAY0000001877,25.04,2024-02-13
REF0000001879,PAY0000001879,8.09,2024-01-19
REF0000001891,PAY0000001891,16.87,2024-08-23
REF0000001893,PAY0000001893,20.31,2024-08-31
REF0000001896,PAY0000001896,110.29,2025-06-13
REF0000001904,PAY0000001904,21.66,2024-07-01
REF0000001918,PAY0000001918,6.88,2024-05-31
REF0000001926,PAY0000001926,12.43,2024-09-26
REF0000001927,PAY0000001927,37.37,2025-04-05
REF0000001932,PAY0000001932,15.9,2023-07-26
REF0000001947,PAY0000001947,11.28,2024-02-23
REF0000001948,PAY0000001948,27.15,2024-05-18
REF0000001951,PAY0000001951,39.66,2023-09-29
REF0000001957,PAY0000001957,79.64,2024-03-28
REF0000001970,PAY0000001970,9.31,2024-01-02
REF0000001971,PAY0000001971,32.96,2023-06-16
REF0000001975,PAY0000001975,19.93,2025-07-05
REF0000001977,PAY0000001977,18.97,2024-09-13
REF0000001985,PAY0000001985,31.54,2025-02-12
REF0000001993,PAY0000001993,21.12,2024-01-25
REF0000001994,PAY0000001994,74.48,2024-09-16
REF0000002001,PAY0000002001,6.27,2025-01-26
REF0000002006,PAY0000002006,11.21,2024-05-08
REF0000002009,PAY0000002009,8.13,2023-11-28
REF0000002010,PAY0000002010,17.34,2025-06-04
REF0000002017,PAY0000002017,9.23,2023-11-18
REF0000002026,PAY0000002026,12.36,2023-11-14
REF0000002047,PAY0000002047,94.95,2023-02-12
REF0000002048,PAY0000002048,27.57,2025-05-19
REF0000002053,PAY0000002053,12.35,2024-01-09
REF0000002064,PAY0000002064,14.73,2023-05-24
REF0000002071,PAY0000002071,18.88,2023-11-23
REF0000002089,PAY0000002089,43.04,2023-09-11
REF0000002090,PAY0000002090,5.69,2023-02-09
REF0000002091,PAY0000002091,11.99,2024-12-09
REF0000002094,PAY0000002094,74.19,2024-06-18
REF0000002098,PAY0000002098,2.98,2024-12-14
REF0000002105,PAY0000002105,11.79,2025-02-15
REF0000002115,PAY0000002115,4.62,2024-01-25
REF0000002118,PAY0000002118,29.79,2023-10-26
REF0000002121,PAY0000002121,9.26,2024-11-24
REF0000002124,PAY0000002124,18.05,2023-06-09
REF0000002129,PAY0000002129,22.56,2025-04-08
REF0000002136,PAY0000002136,19.15,2023-08-12
REF0000002157,PAY0000002157,42.28,2024-03-11
REF0000002162,PAY0000002162,193.68,2024-05-19
REF0000002166,PAY0000002166,5.02,2023-12-14
REF0000002168,PAY0000002168,17.56,2025-05-25
REF0000002170,PAY0000002170,19.15,2023-12-04
REF0000002173,PAY0000002173,9.56,2025-03-09
REF0000002174,PAY0000002174,6.6,2024-04-17
REF0000002192,PAY0000002192,14.02,2025-05-13
REF0000002194,PAY0000002194,21.42,2024-12-10
REF0000002195,PAY0000002195,26.68,2024-11-27
REF0000002198,PAY0000002198,6.66,2025-01-04
REF0000002199,PAY0000002199,4.96,2024-09-30
REF0000002206,PAY0000002206,4.98,2024-09-18
REF0000002212,PAY0000002212,15.26,2023-02-17
REF0000002214,PAY0000002214,29.02,2025-03-15
REF0000002216,PAY0000002216,104.16,2024-11-09
REF0000002220,PAY0000002220,32.73,2025-06-13
REF0000002229,PAY0000002229,24.59,2023-10-25
REF0000002230,PAY0000002230,29.97,2025-03-24
REF0000002235,PAY0000002235,17.35,2023-12-13
REF0000002237,PAY0000002237,29.86,2023-10-14
REF0000002248,PAY0000002248,6.49,2023-12-18
REF0000002251,PAY0000002251,195.04,2024-04-25
REF0000002254,PAY0000002254,3.48,2024-11-14
REF0000002256,PAY0000002256,15.86,2023-03-18
REF0000002264,PAY0000002264,7.58,2025-05-22
REF0000002272,PAY0000002272,45.87,2024-10-05
REF0000002282,PAY0000002282,37.58,2023-11-04
REF0000002286,PAY0000002286,23.99,2024-06-24
REF0000002307,PAY0000002307,0.62,2024-02-08
REF0000002311,PAY0000002311,8.21,2024-01-31
REF0000002313,PAY0000002313,103.43,2025-02-25
REF0000002325,PAY0000002325,16.17,2025-01-02
REF0000002331,PAY0000002331,76.76,2025-02-24
REF0000002332,PAY0000002332,2.91,2024-08-22
REF0000002337,PAY0000002337,5.32,2025-07-03
REF0000002341,PAY0000002341,50.13,2023-02-20
REF0000002348,PAY0000002348,7.48,2024-12-24
REF0000002351,PAY0000002351,73.75,2023-04-15
REF0000002361,PAY0000002361,19.66,2024-10-04
REF0000002363,PAY0000002363,11.82,2024-12-20
REF0000002374,PAY0000002374,7.05,2025-06-25
REF0000002378,PAY0000002378,4.87,2023-09-14
REF0000002379,PAY0000002379,56.98,2023-08-11
REF0000002396,PAY0000002396,24.62,2025-03-01
REF0000002398,PAY0000002398,15.6,2025-01-27
REF0000002405,PAY0000002405,47.75,2024-11-22
REF0000002406,PAY0000002406,6.54,2023-05-08
REF0000002423,PAY0000002423,32.67,2023-07-06
REF0000002433,PAY0000002433,12.68,2024-03-29
REF0000002439,PAY0000002439,17.87,2024-09-04
REF0000002442,PAY0000002442,22.75,2023-05-07
REF0000002454,PAY0000002454,58.32,2025-07-07
REF0000002456,PAY0000002456,4.43,2024-11-08
REF0000002474,PAY0000002474,14.93,2024-08-28
REF0000002477,PAY0000002477,43.61,2023-09-20
REF0000002489,PAY0000002489,9.17,2023-10-16
REF0000002510,PAY0000002510,67.45,2023-03-15
REF0000002514,PAY0000002514,24.25,2023-05-05
REF0000002538,PAY0000002538,8.99,2023-12-14
REF0000002547,PAY0000002547,26.23,2024-01-01
REF0000002563,PAY0000002563,56.31,2023-06-25
REF0000002566,PAY0000002566,4.29,2025-04-19
REF0000002571,PAY0000002571,32.02,2025-02-15
REF0000002578,PAY0000002578,9.18,2024-09-02
REF0000002579,PAY0000002579,62.44,2023-11-26
REF0000002585,PAY0000002585,14.74,2024-11-26
REF0000002604,PAY0000002604,34.19,2025-05-12
REF0000002612,PAY0000002612,19.78,2024-10-03
REF0000002614,PAY0000002614,57.22,2024-10-15
REF0000002626,PAY0000002626,9.19,2025-05-17
REF0000002634,PAY0000002634,20.58,2023-11-25
REF0000002641,PAY0000002641,11.27,2024-02-17
REF0000002643,PAY0000002643,58.61,2023-04-25
REF0000002648,PAY0000002648,22.27,2023-03-31
REF0000002671,PAY0000002671,39.63,2024-07-03
REF0000002674,PAY0000002674,15.56,2025-03-18
REF0000002675,PAY0000002675,21.03,2025-01-22
REF0000002682,PAY0000002682,47.3,2024-03-31
REF0000002689,PAY0000002689,26.7,2025-01-01
REF0000002690,PAY0000002690,33.27,2024-04-14
REF0000002698,PAY0000002698,52.94,2025-01-30
REF0000002720,PAY0000002720,7.26,2024-03-01
REF0000002723,PAY0000002723,5.85,2025-06-20
REF0000002726,PAY0000002726,6.25,2023-12-11
REF0000002728,PAY0000002728,18.43,2025-03-10
REF0000002730,PAY0000002730,16.47,2023-01-28
REF0000002731,PAY0000002731,82.48,2023-03-08
REF0000002739,PAY0000002739,4.65,2023-09-15
REF0000002768,PAY0000002768,80.2,2024-04-27
REF0000002770,PAY0000002770,22.0,2023-04-23
REF0000002771,PAY0000002771,36.71,2023-03-17
REF0000002776,PAY0000002776,11.44,2025-06-07
REF0000002779,PAY0000002779,22.55,2024-02-10
REF0000002787,PAY0000002787,12.76,2025-07-02
REF0000002793,PAY0000002793,31.26,2024-05-30
REF0000002795,PAY0000002795,35.05,2024-09-15
REF0000002804,PAY0000002804,17.93,2024-05-17
REF0000002820,PAY0000002820,8.36,2024-09-10
REF0000002824,PAY0000002824,52.14,2024-07-11
REF0000002833,PAY0000002833,11.84,2025-01-03
REF0000002839,PAY0000002839,19.09,2023-10-09
REF0000002850,PAY0000002850,42.03,2024-06-24
REF0000002852,PAY0000002852,15.71,2023-09-02
REF0000002860,PAY0000002860,72.07,2025-03-30
REF0000002861,PAY0000002861,22.2,2023-10-07
REF0000002864,PAY0000002864,38.49,2024-09-02
REF0000002865,PAY0000002865,17.54,2023-10-24
REF0000002873,PAY0000002873,9.78,2024-02-29
REF0000002884,PAY0000002884,14.87,2025-03-11
REF0000002889,PAY0000002889,18.2,2024-09-08
REF0000002891,PAY0000002891,34.98,2023-05-06
REF0000002893,PAY0000002893,100.55,2025-03-02
REF0000002902,PAY0000002902,9.98,2025-05-03
REF0000002912,PAY0000002912,14.95,2025-03-20
REF0000002928,PAY0000002928,76.2,2024-11-26
REF0000002942,PAY0000002942,24.62,2023-06-30
REF0000002952,PAY0000002952,18.46,2024-07-26
REF0000002956,PAY0000002956,14.48,2024-06-03
REF0000002990,PAY0000002990,17.21,2025-01-05
REF0000003005,PAY0000003005,23.78,2025-01-24
REF0000003013,PAY0000003013,8.54,2024-02-02
REF0000003015,PAY0000003015,7.78,2023-10-26
REF0000003018,PAY0000003018,12.09,2024-12-11
REF0000003026,PAY0000003026,6.62,2023-09-20
REF0000003028,PAY0000003028,7.47,2025-02-08
REF0000003030,PAY0000003030,77.05,2024-04-06
REF0000003031,PAY0000003031,4.54,2024-02-12
REF0000003034,PAY0000003034,48.78,2024-10-17
REF0000003035,PAY0000003035,38.23,2024-10-09
REF0000003036,PAY0000003036,9.83,2023-12-07
REF0000003042,PAY0000003042,12.17,2024-02-20
REF0000003048,PAY0000003048,17.57,2024-11-21
REF0000003050,PAY0000003050,0.68,2025-01-06
REF0000003058,PAY0000003058,12.85,2024-07-06
REF0000003062,PAY0000003062,25.2,2023-08-02
REF0000003069,PAY0000003069,6.54,2024-06-14
REF0000003070,PAY0000003070,7.79,2025-03-23
REF0000003081,PAY0000003081,9.27,2023-07-01
REF0000003083,PAY0000003083,38.59,2023-09-03
REF0000003084,PAY0000003084,102.75,2023-04-16
REF0000003088,PAY0000003088,25.26,2024-05-27
REF0000003095,PAY0000003095,25.55,2024-02-19
REF0000003097,PAY0000003097,42.69,2024-02-01
REF0000003104,PAY0000003104,37.13,2025-05-12
REF0000003105,PAY0000003105,46.31,2025-03-28
REF0000003118,PAY0000003118,7.1,2024-06-27
REF0000003121,PAY0000003121,34.04,2024-03-13
REF0000003135,PAY0000003135,10.28,2023-12-21
REF0000003140,PAY0000003140,86.76,2024-08-31
REF0000003143,PAY0000003143,15.85,2024-07-20
REF0000003148,PAY0000003148,4.37,2024-08-29
REF0000003157,PAY0000003157,7.85,2024-07-24
REF0000003166,PAY0000003166,13.74,2023-09-30
REF0000003169,PAY0000003169,19.07,2023-10-07
REF0000003170,PAY0000003170,16.12,2025-04-05
REF0000003172,PAY0000003172,23.94,2023-10-31
REF0000003178,PAY0000003178,3.26,2025-04-18
REF0000003188,PAY0000003188,12.97,2023-08-14
REF0000003189,PAY0000003189,7.28,2025-04-26
REF0000003194,PAY0000003194,50.85,2024-02-08
REF0000003198,PAY0000003198,25.99,2023-09-18
REF0000003201,PAY0000003201,18.24,2023-02-24
REF0000003203,PAY0000003203,11.14,2024-02-11
REF0000003215,PAY0000003215,50.05,2024-06-23
REF0000003227,PAY0000003227,22.71,2025-05-26
REF0000003230,PAY0000003230,4.88,2023-03-31
REF0000003236,PAY0000003236,26.77,2024-11-07
REF0000003237,PAY0000003237,14.82,2023-06-25
REF0000003239,PAY0000003239,19.31,2023-03-21
REF0000003246,PAY0000003246,4.48,2023-03-17
REF0000003251,PAY0000003251,20.9,2023-05-13
REF0000003256,PAY0000003256,23.04,2024-07-05
REF0000003267,PAY0000003267,52.66,2024-08-08
REF0000003269,PAY0000003269,19.28,2024-10-04
REF0000003270,PAY0000003270,115.04,2023-10-30
REF0000003276,PAY0000003276,47.1,2024-03-02
REF0000003278,PAY0000003278,6.89,2025-02-03
REF0000003307,PAY0000003307,3.78,2024-05-14
REF0000003314,PAY0000003314,6.61,2023-05-30
REF0000003327,PAY0000003327,8.13,2023-03-07
REF0000003351,PAY0000003351,19.35,2023-04-21
REF0000003354,PAY0000003354,16.98,2023-02-17
REF0000003355,PAY0000003355,21.22,2024-08-10
REF0000003369,PAY0000003369,37.13,2024-12-02
REF0000003377,PAY0000003377,37.8,2023-07-09
REF0000003385,PAY0000003385,7.57,2024-12-08
REF0000003389,PAY0000003389,21.94,2023-12-23
