order_id,customer_id,status,country,currency,created_date,updated_date,channel
O000000048,C0006580,cancelled,FR,EUR,2025-02-14,2025-02-14,partner
O000000049,C0006220,delivered,PL,EUR,2025-03-24,2025-04-07,partner
O000000050,C0007566,refunded,PL,EUR,2024-09-20,2024-10-01,mobile
O000000051,C0000733,cancelled,US,EUR,2024-06-15,2024-06-21,web
O000000052,C0002161,paid,PL,GBP,2025-05-27,2025-06-02,mobile
O000000053,C0004474,shipped,GB,EUR,2023-03-05,2023-03-15,mobile
O000000054,C0011861,shipped,NL,EUR,2024-01-14,2024-01-26,partner
O000000055,C0010083,cancelled,DE,EUR,2023-02-03,2023-02-13,web
O000000056,C0003120,shipped,PL,EUR,2024-01-04,2024-01-04,web
O000000057,C0004665,paid,SE,EUR,2025-03-30,2025-04-03,mobile
O000000058,C0007363,delivered,DE,EUR,2025-05-04,2025-05-15,web
O000000059,C0002268,cancelled,GB,EUR,2023-03-29,2023-04-02,web
O000000060,C0009173,paid,ES,EUR,2025-01-05,2025-01-16,partner
O000000061,C0011481,paid,SE,USD,2023-01-19,2023-01-26,web
O000000062,C0006293,delivered,PL,EUR,2024-11-07,2024-11-09,mobile
O000000063,C0011867,shipped,FR,EUR,2024-03-27,2024-03-31,mobile
O000000064,C0008981,delivered,GB,EUR,2023-04-21,2023-04-29,partner
O000000065,C0006893,paid,GB,GBP,2024-08-07,2024-08-13,partner
O000000066,C0011896,delivered,NL,GBP,2024-07-08,2024-07-17,web
O000000067,C0004727,paid,FR,EUR,2025-04-23,2025-05-05,web
O000000068,C0006790,paid,FR,EUR,2024-04-29,2024-05-12,mobile
O000000069,C0003844,paid,DE,EUR,2024-05-29,2024-05-31,web
O000000070,C0008659,shipped,US,USD,2024-12-18,2024-12-25,partner
O000000071,C0009924,delivered,GB,USD,2023-06-03,2023-06-14,partner
O000000072,C0002934,shipped,SE,EUR,2023-12-04,2023-12-04,web
O000000073,C00006325,delivered,US,GBP,2025-05-11,2025-05-23,web
O000000074,C0006927,paid,FR,USD,2025-01-17,2025-01-30,partner
O000000075,C0001407,delivered,US,EUR,2024-06-03,2024-06-14,web
O000000076,C0006412,delivered,NL,EUR,2024-12-23,2024-12-24,web
O000000077,C0005690,shipped,FR,USD,2023-02-28,2023-03-08,partner
O000000078,C0000370,shipped,SE,USD,2023-09-03,2023-09-15,web
O000000079,C0000018,paid,GB,EUR,2023-02-01,2023-02-13,mobile
O000000080,C00005333,shipped,NL,EUR,2023-01-02,2023-01-03,partner
O000000081,C0011890,shipped,GB,EUR,2024-10-09,2024-10-18,partner
O000000082,C0008248,cancelled,GB,EUR,2024-10-11,2024-10-22,partner
O000000083,C0011757,delivered,SE,USD,2024-06-05,2024-06-19,web
O000000084,C0003742,created,US,GBP,2023-02-21,2023-02-24,mobile
O000000085,C0011012,delivered,FR,EUR,2023-06-01,2023-06-12,mobile
O000000086,C00003392,shipped,ES,USD,2023-02-25,2023-02-28,web
O000000087,C0009836,delivered,PL,EUR,2024-09-17,2024-09-24,mobile
O000000088,C0009020,shipped,NL,EUR,2024-11-23,2024-12-04,web
O000000089,C0006268,delivered,GB,GBP,2023-12-14,2023-12-19,web
O000000090,C0002954,shipped,PL,EUR,2023-12-05,2023-12-08,mobile
O000000091,C0000922,shipped,FR,EUR,2024-06-26,2024-07-04,mobile
O000000092,C0003628,paid,NL,EUR,2023-08-07,2023-08-21,web
O000000093,C0000947,shipped,PL,USD,2023-12-07,2023-12-15,web
O000000094,C0010833,cancelled,US,USD,2024-06-29,2024-07-03,partner
O000000095,C0011161,paid,SE,USD,2023-07-21,2023-08-01,partner
O000000096,C0006160,delivered,NL,EUR,2023-12-11,2023-12-24,partner
O000000097,C0000842,paid,ES,EUR,2024-11-06,2024-11-11,web
O000000098,C0011952,paid,PL,EUR,2024-09-17,2024-09-27,mobile
O000000099,C0011848,shipped,DE,EUR,2023-01-29,2023-02-02,partner
O000000100,C0008848,shipped,US,USD,2023-08-10,2023-08-15,mobile
O000000101,C0003454,created,PL,EUR,2023-05-31,2023-06-14,partner
O000000102,C0009472,refunded,DE,EUR,2024-06-08,2024-06-09,mobile
O000000103,C0003627,paid,US,EUR,2023-11-29,2023-12-13,partner
O000000104,C0007936,shipped,DE,EUR,2025-02-19,2025-02-23,partner
O000000105,c0010211,shipped,US,EUR,2024-11-06,2024-11-12,mobile
O000000106,C0005021,shipped,DE,EUR,2023-07-22,2023-07-27,web
O000000107,C0007199,paid,PL,USD,2023-09-10,2023-09-15,partner
O000000108,c0010489,refunded,US,USD,2024-10-05,2024-10-11,mobile
O000000109,C0009476,shipped,NL,EUR,2024-08-25,2024-09-08,mobile
O000000110,C0007563,paid,US,EUR,2025-03-02,2025-03-12,web
O000000111,C0009657,shipped,DE,EUR,2024-12-21,2024-12-24,web
O000000112,C0005098,delivered,US,EUR,2025-02-13,2025-02-17,partner
O000000113,C0001944,paid,ES,USD,2023-01-15,2023-01-19,web
O000000114,C0004804,delivered,FR,USD,2024-11-15,2024-11-22,partner
O000000115,C0007425,paid,SE,EUR,2023-01-29,2023-02-11,partner
O000000116,C0009794,shipped,US,USD,2023-10-13,2023-10-16,partner
O000000117,C0005030,shipped,US,USD,2025-01-01,2025-01-07,web
O000000118,C0006830,cancelled,PL,EUR,2024-03-12,2024-03-26,web
O000000119,C0002118,cancelled,ES,EUR,2024-07-07,2024-07-09,partner
O000000120,C0009449,delivered,DE,EUR,2023-04-13,2023-04-14,partner
O000000121,C0009861,cancelled,SE,USD,2023-10-23,2023-10-28,web
O000000122,C0004812,paid,SE,USD,2025-01-02,2025-01-04,mobile
O000000123,C0002623,cancelled,SE,EUR,2024-03-22,2024-04-01,partner
O000000124,C0005607,paid,SE,USD,2024-10-20,2024-10-29,mobile
O000000125,C0004572,paid,DE,EUR,2024-11-18,2024-11-25,web
O000000126,C0011440,delivered,US,USD,2024-09-01,2024-09-11,mobile
O000000127,C0005784,shipped,FR,EUR,2024-10-16,2024-10-18,partner
O000000128,C0008450,cancelled,DE,EUR,2024-12-11,2024-12-24,partner
O000000129,C0001460,shipped,PL,EUR,2023-12-13,2023-12-14,partner
O000000130,C00011221,refunded,NL,GBP,2023-10-26,2023-10-30,web
O000000131,C0006429,paid,US,EUR,2023-10-31,2023-11-06,mobile
O000000132,c0003125,paid,FR,EUR,2024-07-15,2024-07-16,web
O000000133,C0003913,delivered,US,EUR,2024-04-06,2024-04-09,web
O000000134,C0008656,delivered,GB,EUR,2025-02-25,2025-03-04,web
O000000135,C0011910,delivered,US,EUR,2024-08-15,2024-08-28,web
O000000136,C0000007,paid,FR,GBP,2023-11-05,2023-11-10,web
O000000137,C0008868,created,US,USD,2023-05-10,2023-05-16,partner
O000000138,c0000704,delivered,DE,EUR,2025-02-18,2025-03-03,web
O000000139,C0011452,delivered,ES,USD,2023-03-03,2023-03-17,web
O000000140,C0003162,delivered,NL,GBP,2024-01-30,2024-02-07,web
O000000141,C0000653,delivered,PL,USD,2023-08-10,2023-08-14,web
O000000142,C0004960,delivered,US,USD,2025-04-28,2025-04-28,web
O000000143,C0007722,paid,PL,EUR,2025-02-23,2025-02-25,partner
O000000144,C0004511,delivered,ES,EUR,2023-09-27,2023-09-30,partner
O000000145,C0000537,shipped,US,EUR,2023-07-08,2023-07-18,partner
O000000146,C0003795,paid,PL,EUR,2025-06-09,2025-06-23,partner
O000000147, C0002898 ,shipped,US,GBP,2025-02-18,2025-02-27,mobile
O000000148,C0010731,delivered,US,USD,2023-08-04,2023-08-08,web
O000000149,C0001406,paid,FR,EUR,2025-03-11,2025-03-18,mobile
O000000150,C0010748,shipped,SE,EUR,2024-01-30,2024-02-10,mobile
O000000151,C0001523,paid,NL,USD,2023-04-09,2023-04-15,web
O000000152,C0004585,delivered,US,EUR,2024-05-11,2024-05-15,web
O000000153,C0007877,cancelled,SE,EUR,2023-06-28,2023-06-28,web
O000000154,C0011617,cancelled,US,EUR,2023-07-22,2023-07-24,web
O000000155,C0002940,shipped,NL,EUR,2024-07-26,2024-07-26,partner
O000000156,C0001878,shipped,DE,USD,2023-11-18,2023-11-25,web
O000000157,C0009543,cancelled,PL,EUR,2023-11-30,2023-12-14,web
O000000158,C0008243,cancelled,GB,USD,2025-02-24,2025-03-05,partner
O000000159,C0010176,created,DE,EUR,2023-02-11,2023-02-16,partner
O000000160,C0011684,shipped,US,PLN,2024-10-12,2024-10-18,web
O000000161,C0010084,delivered,US,USD,2023-03-20,2023-03-22,mobile
O000000162,C0003773,shipped,US,EUR,2024-11-15,2024-11-28,web
O000000163,C0007673,shipped,DE,EUR,2025-05-09,2025-05-12,partner
O000000164,C0003462,cancelled,SE,PLN,2025-06-08,2025-06-10,mobile
O000000165,C0001579,delivered,PL,GBP,2023-11-08,2023-11-16,partner
O000000166,C0006598,paid,PL,EUR,2024-08-09,2024-08-18,partner
O000000167,C0006617,paid,NL,EUR,2025-06-07,2025-06-19,partner
O000000168,C0004262,created,ES,EUR,2024-01-14,2024-01-20,web
O000000169,C0008246,paid,ES,EUR,2024-03-20,2024-03-21,web
O000000170,C0002249,shipped,DE,GBP,2023-01-15,2023-01-21,partner
O000000171,C0007081,shipped,FR,USD,2023-04-03,2023-04-10,mobile
O000000172,C0006298,shipped,PL,EUR,2024-01-08,2024-01-21,web
O000000173,C0007587,paid,ES,USD,2025-02-13,2025-02-23,mobile
O000000174,C0010462,paid,NL,EUR,2023-12-22,2023-12-24,web
O000000175,c0003343,delivered,NL,EUR,2023-10-20,2023-10-27,mobile
O000000176,C0011642,shipped,DE,PLN,2024-05-15,2024-05-21,partner
O000000177,C0001797,shipped,PL,USD,2023-09-19,2023-09-28,web
O000000178,C0002915,delivered,FR,EUR,2023-12-30,2024-01-13,mobile
O000000179,C0010290,shipped,DE,EUR,2024-07-03,2024-07-12,mobile
O000000180,C00007123,delivered,SE,EUR,2024-07-28,2024-08-11,partner
O000000181,C0003506,delivered,FR,USD,2024-05-04,2024-05-17,web
O000000182,C0001581,delivered,PL,PLN,2023-03-05,2023-03-11,web
O000000183,C0008343,paid,SE,EUR,2023-12-29,2024-01-05,mobile
O000000184,C0010096,shipped,GB,PLN,2023-03-12,2023-03-20,web
O000000185,C0003819,delivered,US,USD,2024-01-16,2024-01-17,mobile
O000000186,C0003358,paid,US,USD,2024-01-26,2024-01-26,partner
O000000187,C0005056,shipped,DE,EUR,2023-04-27,2023-04-30,mobile
O000000188,C0001484,paid,US,EUR,2024-06-01,2024-06-02,partner
O000000189,C0000564,delivered,GB,EUR,2023-06-02,2023-06-07,web
O000000190, C0000029 ,refunded,NL,EUR,2024-03-21,2024-04-04,partner
O000000191,C0004174,shipped,US,EUR,2024-04-10,2024-04-14,partner
O000000192,C0005550,paid,US,EUR,2025-02-07,2025-02-18,mobile
O000000193,C0002795,refunded,PL,EUR,2023-04-05,2023-04-12,mobile
O000000194,C0001611,created,GB,USD,2023-12-26,2024-01-01,partner
O000000195,C0008937,delivered,FR,USD,2024-08-24,2024-09-07,mobile
O000000196,C0009999,delivered,GB,EUR,2024-09-12,2024-09-12,web
O000000197,C0001102,paid,US,EUR,2023-05-02,2023-05-05,web
O000000198,C0008674,shipped,SE,EUR,2024-10-15,2024-10-15,web
O000000199,C0004165,delivered,PL,USD,2023-06-06,2023-06-09,mobile
O000000200,C0001383,delivered,GB,USD,2025-01-04,2025-01-15,web
O000000201,C0000516,paid,US,USD,2024-02-20,2024-03-03,mobile
O000000202,C0010016,paid,DE,EUR,2023-12-08,2023-12-17,web
O000000203,C0004464,paid,US,PLN,2023-04-03,2023-04-11,mobile
O000000204,C0006103,cancelled,PL,EUR,2024-06-20,2024-07-03,mobile
O000000205,C0011624,paid,DE,EUR,2023-02-14,2023-02-21,mobile
O000000206,C0007438,delivered,SE,EUR,2023-04-06,2023-04-19,partner
O000000207,C0007808,cancelled,PL,GBP,2023-02-12,2023-02-14,web
O000000208,C0005635,cancelled,US,USD,2023-11-16,2023-11-20,mobile
O000000209,C0010449,shipped,US,EUR,2024-08-23,2024-09-02,mobile
O000000210,C0007947,refunded,SE,USD,2023-03-21,2023-04-04,web
O000000211,C0001297,delivered,DE,EUR,2024-04-11,2024-04-16,web
O000000212,C0004847,cancelled,US,EUR,2023-07-12,2023-07-17,partner
O000000213,C0008485,cancelled,GB,EUR,2024-04-13,2024-04-13,mobile
O000000214,C0007464,shipped,FR,USD,2024-11-09,2024-11-16,web
O000000215,C0000811,created,NL,EUR,2023-02-15,2023-02-19,mobile
O000000216,C0001937,paid,NL,EUR,2023-11-28,2023-12-11,partner
O000000217,C0003974,delivered,SE,EUR,2023-02-06,2023-02-06,mobile
O000000218,C0004536,paid,NL,EUR,2023-08-16,2023-08-16,web
O000000219,C0002959,shipped,NL,EUR,2023-08-30,2023-09-03,web
O000000220,C0005760,paid,ES,EUR,2025-02-11,2025-02-14,partner
O000000221,C0003890,paid,ES,EUR,2024-10-03,2024-10-17,partner
O000000222,C0010546,shipped,ES,EUR,2023-03-07,2023-03-15,partner
O000000223,C0005326,paid,DE,EUR,2023-04-01,2023-04-14,web
O000000224,C0004372,delivered,DE,EUR,2023-09-11,2023-09-13,web
O000000225,C0002569,paid,PL,EUR,2024-03-10,2024-03-22,web
O000000226,C0002491,refunded,GB,EUR,2024-05-11,2024-05-11,mobile
O000000227,C0001579,created,FR,GBP,2025-04-20,2025-04-20,mobile
O000000228,C0010275,shipped,US,PLN,2025-02-05,2025-02-07,web
O000000229,C0006938,delivered,PL,USD,2023-02-23,2023-03-01,web
O000000230,C0001017,delivered,ES,USD,2023-09-14,2023-09-21,mobile
O000000231,C0009151,delivered,ES,EUR,2024-12-22,2024-12-31,web
O000000232,C0005691,created,NL,EUR,2024-02-26,2024-03-05,mobile
O000000233,C0000045,delivered,US,EUR,2023-04-24,2023-05-05,mobile
O000000234,C0005161,refunded,FR,EUR,2024-04-14,2024-04-25,web
O000000235,C0006509,delivered,SE,EUR,2023-06-21,2023-06-27,mobile
O000000236,C0011971,paid,ES,USD,2023-05-11,2023-05-17,mobile
O000000237,C0007427,created,US,EUR,2025-04-04,2025-04-15,mobile
O000000238,C0008954,paid,DE,USD,2025-05-25,2025-06-03,partner
O000000239,C0005400,paid,DE,EUR,2024-12-22,2025-01-02,web
O000000240,C0011337,delivered,ES,EUR,2025-03-19,2025-03-21,mobile
O000000241,C0002085,delivered,FR,EUR,2023-03-12,2023-03-12,mobile
O000000242,C0006399,paid,ES,PLN,2024-09-08,2024-09-13,web
O000000243,C0007128,created,GB,EUR,2024-11-15,2024-11-27,web
O000000244,C0011271,shipped,PL,EUR,2023-11-14,2023-11-16,partner
O000000245,C0003532,shipped,NL,GBP,2025-04-09,2025-04-16,web
O000000246,C0003041,cancelled,ES,USD,2024-09-12,2024-09-21,partner
O000000247, C0010895 ,created,ES,EUR,2023-09-08,2023-09-12,web
O000000248,C0006039,paid,FR,PLN,2023-10-18,2023-10-24,mobile
O000000249,C0006237,delivered,DE,EUR,2023-10-09,2023-10-15,web
O000000250,C0003705,delivered,US,EUR,2024-04-30,2024-05-12,mobile
O000000251,C0001911,shipped,DE,USD,2024-05-23,2024-05-23,web
O000000252,C0001714,paid,DE,EUR,2024-07-16,2024-07-28,partner
O000000253,C0011869,paid,FR,EUR,2023-10-23,2023-10-23,partner
O000000254,C0008549,delivered,US,USD,2023-04-11,2023-04-25,mobile
O000000255,C0004552,shipped,US,USD,2024-07-26,2024-08-02,partner
O000000256,C0009719,paid,FR,EUR,2025-03-11,2025-03-19,partner
O000000257,C0004059,delivered,PL,USD,2024-09-29,2024-10-01,web
O000000258,C0003587,paid,SE,EUR,2023-04-14,2023-04-28,mobile
O000000259,C0007677,paid,DE,EUR,2024-06-19,2024-07-01,partner
O000000260,C0003370,shipped,US,EUR,2024-01-11,2024-01-21,mobile
O000000261,C0005899,delivered,US,USD,2024-05-12,2024-05-24,partner
O000000262,C0006630,paid,US,USD,2024-11-21,2024-11-25,partner
O000000263,C0006797,shipped,ES,PLN,2024-05-23,2024-06-05,web
O000000264,C0006480,delivered,ES,EUR,2023-08-06,2023-08-20,mobile
O000000265,C0004067,paid,DE,EUR,2025-06-18,2025-06-27,partner
O000000266,C0005925,delivered,US,EUR,2024-03-08,2024-03-12,mobile
O000000267,C0000845,paid,US,USD,2024-08-28,2024-09-10,web
O000000268,C0009800,created,GB,EUR,2024-02-27,2024-03-10,partner
O000000269,C0011385,delivered,US,GBP,2024-09-29,2024-10-01,web
O000000270,C0005101,created,US,EUR,2024-01-21,2024-01-26,partner
O000000271,C0000006,shipped,US,USD,2025-03-16,2025-03-28,partner
O000000272,C0000909,paid,FR,EUR,2025-01-13,2025-01-19,web
O000000273,C0003169,cancelled,PL,USD,2024-02-26,2024-02-27,partner
O000000274,C0006392,paid,FR,EUR,2025-04-13,2025-04-24,mobile
O000000275,C0006183,delivered,FR,USD,2024-11-15,2024-11-26,web
O000000276,C0008344,delivered,PL,USD,2024-05-12,2024-05-22,web
O000000277,C0000062,shipped,GB,EUR,2023-01-07,2023-01-14,web
O000000278,C0010696,delivered,DE,EUR,2024-05-20,2024-05-28,web
O000000279,C0006980,paid,US,EUR,2024-11-15,2024-11-24,partner
O000000280,C0006446,shipped,US,EUR,2024-07-15,2024-07-20,partner
O000000281,C0005088,cancelled,NL,EUR,2023-05-16,2023-05-19,partner
O000000282,C0003068,paid,NL,EUR,2023-02-28,2023-03-10,mobile
O000000283,C0010902,delivered,PL,USD,2024-05-07,2024-05-12,mobile
O000000284,C0004913,shipped,DE,EUR,2024-02-07,2024-02-18,mobile
O000000285,C00003347,paid,NL,EUR,2025-05-25,2025-05-25,mobile
O000000286,C0005513,created,GB,EUR,2023-11-06,2023-11-15,web
O000000287,C0001416,paid,ES,USD,2025-04-18,2025-04-29,web
O000000288,C0001104,created,NL,EUR,2023-03-19,2023-03-21,partner
O000000289,C0004920,paid,US,GBP,2024-06-25,2024-07-03,partner
O000000290,C0008880,paid,US,EUR,2024-04-08,2024-04-10,partner
O000000291,C0005550,shipped,US,EUR,2024-05-15,2024-05-16,web
O000000292,c0010601,shipped,GB,EUR,2025-01-09,2025-01-10,partner
O000000293,C0007012,created,FR,EUR,2023-06-25,2023-07-05,web
O000000294,C0004514,refunded,NL,USD,2024-05-02,2024-05-10,mobile
O000000295,C0003858,shipped,GB,EUR,2024-04-16,2024-04-22,web
O000000296,C0004189,delivered,GB,GBP,2025-03-09,2025-03-20,mobile
O000000297,C0010282,paid,DE,EUR,2024-06-16,2024-06-18,web
O000000298,C0005571,created,SE,EUR,2023-08-21,2023-08-24,mobile
O000000299,C0008947,paid,US,EUR,2024-01-13,2024-01-27,partner
O000000300,C0002603,created,ES,EUR,2024-11-16,2024-11-20,mobile
O000000301,C0010856,paid,NL,USD,2023-10-02,2023-10-05,web
O000000302,C0000836,cancelled,SE,GBP,2023-01-10,2023-01-20,partner
O000000303,C0010248,paid,FR,USD,2024-11-11,2024-11-23,web
O000000304,C0007979,delivered,FR,EUR,2023-03-10,2023-03-21,web
O000000305,C0002634,cancelled,ES,EUR,2024-06-17,2024-06-26,mobile
O000000306,C0000568,paid,US,EUR,2025-01-26,2025-02-08,partner
O000000307,C0006859,paid,DE,EUR,2024-12-10,2024-12-16,mobile
O000000308, C0011556 ,paid,US,USD,2025-06-01,2025-06-04,web
O000000309,C0004251,cancelled,GB,EUR,2025-04-14,2025-04-26,web
O000000310,C0000367,refunded,SE,USD,2023-10-08,2023-10-17,partner
O000000311,C0001202,paid,DE,EUR,2024-05-23,2024-05-26,web
O000000312,C0009072,paid,GB,GBP,2024-06-20,2024-06-26,partner
O000000313,C0000844,paid,DE,EUR,2024-06-24,2024-06-30,mobile
O000000314,C0003207,refunded,US,USD,2024-06-15,2024-06-22,web
O000000315,C0003643,created,PL,EUR,2025-02-01,2025-02-10,mobile
O000000316,C0003174,created,NL,EUR,2023-09-15,2023-09-17,web
O000000317,C0004402,created,SE,USD,2025-05-13,2025-05-27,mobile
O000000318,C0002172,delivered,GB,USD,2023-04-12,2023-04-26,partner
O000000319,C0010684,delivered,GB,USD,2024-07-29,2024-08-02,mobile
O000000320,C0007306,delivered,DE,EUR,2024-11-15,2024-11-25,mobile
O000000321,C0007227,delivered,US,USD,2024-02-21,2024-02-24,partner
O000000322,C0010723,paid,DE,EUR,2024-07-28,2024-08-07,mobile
O000000323,C0003474,created,US,USD,2024-06-27,2024-06-28,partner
O000000324,C0000608,delivered,US,EUR,2023-07-07,2023-07-17,web
O000000325,C0009560,delivered,PL,USD,2025-01-08,2025-01-12,mobile
O000000326,C0006834,delivered,PL,USD,2024-02-05,2024-02-05,web
O000000327,C0003244,paid,DE,USD,2023-10-29,2023-11-12,mobile
O000000328,C0009839,delivered,SE,USD,2024-09-06,2024-09-16,mobile
O000000329,C0004531,paid,US,EUR,2023-08-23,2023-08-25,web
O000000330,C0007414,cancelled,DE,EUR,2023-12-26,2024-01-03,partner
O000000331,C0009161,paid,ES,EUR,2023-07-03,2023-07-17,mobile
O000000332,C0008788,delivered,GB,EUR,2024-03-21,2024-03-30,partner
O000000333,C0007434,paid,US,EUR,2023-12-06,2023-12-18,mobile
O000000334,C0011047,paid,ES,EUR,2025-01-15,2025-01-25,mobile
O000000335,C0003931,delivered,ES,PLN,2024-10-27,2024-10-27,mobile
O000000336,C0002223,shipped,US,USD,2025-05-14,2025-05-17,mobile
O000000337,C0002107,cancelled,PL,EUR,2023-06-12,2023-06-16,partner
O000000338,C0008872,paid,DE,EUR,2023-05-10,2023-05-14,web
O000000339,C0006573,delivered,PL,GBP,2025-05-09,2025-05-11,partner
O000000340,C0007337,refunded,US,EUR,2023-11-25,2023-12-01,partner
O000000341,C0002532,delivered,US,EUR,2023-04-06,2023-04-06,web
O000000342,C0000524,paid,ES,USD,2024-11-27,2024-12-02,mobile
O000000343,C0004364,paid,DE,EUR,2025-05-23,2025-05-30,partner
O000000344,C0004077,created,ES,EUR,2023-07-03,2023-07-10,partner
O000000345,C0000394,cancelled,US,USD,2023-11-01,2023-11-07,partner
O000000346,C0003668,shipped,DE,EUR,2023-10-03,2023-10-05,web
O000000347,C0005388,created,ES,EUR,2024-04-07,2024-04-17,mobile
O000000348, C0007899 ,delivered,PL,EUR,2023-11-17,2023-11-27,web
O000000349,C0009205,delivered,NL,EUR,2024-01-04,2024-01-04,mobile
O000000350,C0011575,paid,SE,USD,2024-10-11,2024-10-12,web
O000000351,C0005663,shipped,SE,USD,2025-03-06,2025-03-09,web
O000000352,C0002152,cancelled,US,EUR,2024-12-13,2024-12-18,web
O000000353,C0010199,shipped,DE,EUR,2024-11-09,2024-11-19,web
O000000354,C0009242,shipped,ES,EUR,2025-06-13,2025-06-22,mobile
O000000355,C0002537,delivered,NL,EUR,2024-02-15,2024-02-22,partner
O000000356,C0011737,paid,DE,EUR,2024-08-05,2024-08-17,web
O000000357,C0010014,delivered,US,EUR,2024-08-12,2024-08-22,web
O000000358,C0003539,paid,SE,EUR,2024-10-01,2024-10-15,web
O000000359,C0002884,delivered,FR,EUR,2024-05-07,2024-05-07,partner
O000000360,C0001241,refunded,US,EUR,2024-08-29,2024-08-31,partner
O000000361,C0003085,cancelled,DE,EUR,2023-08-31,2023-09-07,mobile
O000000362,C0005221,shipped,NL,EUR,2024-05-14,2024-05-18,partner
O000000363,C0010380,delivered,FR,EUR,2025-03-27,2025-03-29,mobile
O000000364,c0010796,created,US,EUR,2025-01-03,2025-01-13,web
O000000365,C0001155,shipped,NL,GBP,2024-07-30,2024-08-06,web
O000000366,C0002632,shipped,ES,EUR,2024-09-25,2024-09-28,web
O000000367,C0007921,shipped,US,GBP,2023-05-13,2023-05-21,web
O000000368,C0002739,delivered,FR,EUR,2023-02-17,2023-02-23,partner
O000000369,C0002382,delivered,PL,EUR,2023-10-05,2023-10-18,partner
O000000370,C0006941,paid,US,EUR,2023-03-18,2023-03-19,partner
O000000371,C0009338,delivered,US,EUR,2023-06-05,2023-06-18,web
O000000372,C0009165,delivered,US,EUR,2023-11-04,2023-11-08,web
O000000373,C0003278,delivered,US,EUR,2024-08-22,2024-08-29,web
O000000374,C0011599,cancelled,SE,EUR,2024-06-21,2024-06-26,web
O000000375,C0010280,paid,DE,EUR,2025-01-11,2025-01-11,web
