payment_id,order_id,status,amount,currency,created_date
PAY0000000042,O000000042,captured,13.42,EUR,2023-03-14
PAY0000000043,O000000043,captured,44.82,EUR,2024-03-10
PAY0000000044,o000000044,captured,55.5,USD,2023-06-03
PAY0000000045,O000000045,captured,23.31,EUR,2024-03-10
PAY0000000046,O000000046,captured,6.16,EUR,2023-05-08
PAY0000000047,O000000047,captured,9.27,EUR,2023-10-04
PAY0000000048,O000000048,captured,10.76,PLN,2023-03-07
PAY0000000049,O000000049,captured,31.27,EUR,2023-04-13
PAY0000000050,O000000050,captured,141.28,EUR,2023-05-24
PAY0000000051,O000000051,captured,27.39,EUR,2024-08-27
PAY0000000052,O000000052,partial_refund,19.79,EUR,2024-03-08
PAY0000000053,O000000053,captured,26.34,EUR,2023-08-17
PAY0000000055,O000000055,refunded,15.59,USD,2023-03-15
PAY0000000056,O000000056,captured,126.02,EUR,2023-06-14
PAY0000000057,O000000057,captured,18.46,EUR,2024-06-09
PAY0000000058,O000000058,captured,11.62,USD,2024-06-26
PAY0000000059,O000000059,captured,6.83,USD,2023-08-06
PAY0000000060,O000000060,captured,20.23,USD,2025-03-27
PAY0000000061,O000000061,captured,13.68,GBP,2024-10-07
PAY0000000062,o000000062,captured,23.89,EUR,2023-12-08
PAY0000000063,O000000063,captured,36.27,EUR,2025-05-26
PAY0000000064,O000000064,captured,28.26,USD,2025-04-14
PAY0000000065,O000000065,captured,52.54,USD,2023-12-24
PAY0000000067,O000000067,captured,16.23,EUR,2024-11-03
PAY0000000068,O000000068,authorized,11.04,USD,2024-07-14
PAY0000000069,O000000069,captured,17.68,EUR,2024-01-31
PAY0000000070,O000000070,captured,11.64,PLN,2023-11-29
PAY0000000071,O000000071,refunded,97.67,USD,2024-03-24
PAY0000000072,O000000072,refunded,12.13,EUR,2023-10-11
PAY0000000073,O000000073,refunded,61.54,EUR,2025-05-08
PAY0000000074,O000000074,failed,20.37,USD,2024-10-15
PAY0000000075,O000000075,captured,23.18,USD,2023-01-05
PAY0000000077,O000000077,captured,26.48,EUR,2025-04-05
PAY0000000079,O000000079,captured,25.23,EUR,2023-07-30
PAY0000000080, O000000080 ,captured,47.23,EUR,2023-06-06
PAY0000000081,O000000081,captured,27.38,EUR,2023-11-05
PAY0000000083,O000000083,captured,23.9,EUR,2024-10-18
PAY0000000084,O000000084,captured,70.05,EUR,2024-12-19
PAY0000000085,O000000085,captured,40.19,EUR,2023-01-14
PAY0000000087,O000000087,captured,38.81,EUR,2023-09-26
PAY0000000088,O000000088,captured,28.82,USD,2024-05-27
PAY0000000089,O000000089,partial_refund,18.05,USD,2023-03-20
PAY0000000090,O000000090,captured,24.71,USD,2023-01-10
PAY0000000092,O000000092,captured,188.3,USD,2023-11-05
PAY0000000093,O000000093,authorized,9.22,USD,2024-07-11
PAY0000000095,O000000095,captured,37.78,EUR,2024-09-08
PAY0000000096,O000000096,captured,9.49,EUR,2023-03-13
PAY0000000097,O000000097,authorized,12.5,EUR,2024-04-19
PAY0000000098,O000000098,captured,18.33,USD,2024-01-23
PAY0000000099,O000000099,captured,15.89,EUR,2023-01-02
PAY0000000100,O000000100,captured,21.27,EUR,2025-06-15
PAY0000000101,O000000101,captured,21.23,USD,2024-02-12
PAY0000000102,O000000102,captured,75.8,EUR,2025-05-18
PAY0000000103,O000000103,captured,9.62,EUR,2025-04-21
PAY0000000104,O000000104,failed,11.87,USD,2024-11-20
PAY0000000105,O000000105,captured,22.23,USD,2024-12-16
PAY0000000106,O000000106,captured,41.8,EUR,2024-12-22
PAY0000000107,O000000107,captured,9.79,USD,2023-10-26
PAY0000000108,O000000108,authorized,22.05,EUR,2025-05-06
PAY0000000109,O000000109,captured,38.7,EUR,2024-10-12
PAY0000000110,O000000110,failed,79.92,EUR,2024-09-01
PAY0000000111,O000000111,captured,15.57,EUR,2023-04-16
PAY0000000112,O000000112,captured,36.59,USD,2023-06-08
PAY0000000113,O000000113,failed,76.99,EUR,2024-02-22
PAY0000000114,O000000114,captured,8.56,GBP,2024-09-29
PAY0000000115,O000000115,authorized,48.8,EUR,2025-06-10
PAY0000000116,O000000116,captured,39.15,EUR,2023-10-25
PAY0000000117,O000000117,captured,5.16,EUR,2025-02-21
PAY0000000118,O000000118,captured,23.89,USD,2023-03-25
PAY0000000119,O000000119,captured,20.85,EUR,2023-07-20
PAY0000000120,O000000120,captured,4.11,PLN,2024-05-17
PAY0000000121,O000000121,captured,32.29,EUR,2023-07-12
PAY0000000122,O000000122,captured,20.17,USD,2025-04-01
PAY0000000123,O000000123,captured,18.75,EUR,2024-09-24
PAY0000000124,O000000124,failed,6.22,EUR,2024-03-24
PAY0000000125,O000000125,captured,22.14,EUR,2023-10-22
PAY0000000127,O000000127,refunded,23.64,EUR,2024-06-26
PAY0000000128,O000000128,refunded,42.44,USD,2023-12-10
PAY0000000129,O000000129,captured,27.66,EUR,2023-07-28
PAY0000000130,O000000130,partial_refund,16.53,USD,2024-12-05
PAY0000000131,O000000131,authorized,12.59,EUR,2025-05-05
PAY0000000132,O000000132,refunded,45.43,EUR,2024-12-27
PAY0000000133,O000000133,captured,78.27,EUR,2025-06-07
PAY0000000134,O000000134,captured,11.96,EUR,2024-04-06
PAY0000000135,O000000135,captured,40.77,EUR,2024-02-09
PAY0000000136,O000000136,captured,63.52,USD,2025-01-07
PAY0000000137,O000000137,captured,35.03,EUR,2023-01-02
PAY0000000138,O000000138,captured,43.36,USD,2023-03-19
PAY0000000139,O000000139,captured,49.19,EUR,2024-09-25
PAY0000000140,O000000140,refunded,26.7,EUR,2023-10-19
PAY0000000141,O000000141,captured,20.53,EUR,2024-06-15
PAY0000000142,O000000142,captured,36.22,EUR,2024-11-19
PAY0000000143,O000000143,captured,41.59,PLN,2024-04-30
PAY0000000144,O000000144,captured,13.66,EUR,2023-09-26
PAY0000000146,O000000146,captured,39.53,EUR,2024-10-07
PAY0000000147,O000000147,captured,14.6,EUR,2025-01-19
PAY0000000148,O000000148,captured,86.6,EUR,2024-05-25
PAY0000000149,O000000149,partial_refund,48.57,EUR,2025-04-24
PAY0000000151,O000000151,captured,14.79,USD,2024-08-19
PAY0000000152,O000000152,failed,55.36,EUR,2024-06-06
PAY0000000153,O000000153,captured,64.52,EUR,2024-03-12
PAY0000000154,O000000154,captured,32.74,GBP,2024-08-01
PAY0000000155,O000000155,failed,24.63,EUR,2024-07-06
PAY0000000156,O000000156,refunded,8.5,EUR,2023-01-28
PAY0000000157, O000000157 ,authorized,70.08,EUR,2024-10-28
PAY0000000158,O000000158,authorized,23.49,EUR,2024-11-12
PAY0000000159,O000000159,captured,14.27,USD,2024-08-09
PAY0000000160,O000000160,refunded,42.46,EUR,2023-05-16
PAY0000000161,O000000161,captured,17.82,USD,2024-11-15
PAY0000000162,O000000162,captured,41.17,EUR,2024-05-03
PAY0000000163,O000000163,refunded,23.79,USD,2023-02-08
PAY0000000164,O000000164,captured,28.5,USD,2025-02-12
PAY0000000165,O000000165,authorized,17.25,EUR,2023-03-12
PAY0000000166,O000000166,captured,12.56,EUR,2024-04-02
PAY0000000167,O000000167,captured,97.01,EUR,2023-04-11
PAY0000000169,O000000169,captured,63.7,USD,2025-01-17
PAY0000000170,O000000170,captured,39.25,USD,2024-07-16
PAY0000000171,O000000171,partial_refund,22.33,USD,2023-05-17
PAY0000000172,O000000172,refunded,3.94,USD,2024-08-24
PAY0000000173,O000000173,captured,20.75,EUR,2024-08-25
PAY0000000174,O000000174,refunded,18.42,EUR,2023-08-06
PAY0000000175,O000000175,captured,11.96,USD,2024-04-17
PAY0000000176,O000000176,captured,54.39,EUR,2024-05-21
PAY0000000178,O000000178,refunded,4.52,EUR,2024-10-20
PAY0000000179,O000000179,captured,4.66,EUR,2024-02-07
PAY0000000180,O000000180,captured,22.49,EUR,2024-05-10
PAY0000000181,O000000181,authorized,36.51,EUR,2023-07-15
PAY0000000182,o000000182,refunded,27.28,GBP,2024-03-06
PAY0000000183,O000000183,captured,25.84,EUR,2024-08-08
PAY0000000184,O000000184,captured,56.3,EUR,2023-02-07
PAY0000000185,O000000185,captured,32.02,USD,2023-02-21
PAY0000000186,O000000186,partial_refund,14.83,EUR,2023-07-28
PAY0000000187,O000000187,failed,11.01,USD,2024-01-13
PAY0000000188,O000000188,refunded,16.54,EUR,2024-11-18
PAY0000000189,O000000189,failed,40.36,EUR,2024-07-28
PAY0000000190,O000000190,captured,42.34,EUR,2024-03-31
PAY0000000191,O000000191,captured,68.26,EUR,2024-02-11
PAY0000000192,O000000192,captured,55.06,EUR,2023-06-25
PAY0000000193,O000000193,captured,65.32,USD,2023-09-27
PAY0000000194,O000000194,captured,22.12,EUR,2024-04-15
PAY0000000195,O000000195,captured,16.58,EUR,2023-02-03
PAY0000000196,O000000196,captured,57.1,EUR,2025-01-29
PAY0000000197,O000000197,failed,41.57,USD,2024-03-26
PAY0000000198,O000000198,captured,72.76,EUR,2024-06-21
PAY0000000199,O000000199,captured,57.41,USD,2024-05-24
PAY0000000200, O000000200 ,partial_refund,27.27,USD,2023-08-11
PAY0000000201,O000000201,captured,78.09,EUR,2025-04-25
PAY0000000202,O000000202,captured,25.88,EUR,2024-03-13
PAY0000000203,O000000203,refunded,47.09,EUR,2024-12-01
PAY0000000204,O000000204,captured,52.3,PLN,2023-12-21
PAY0000000205,O000000205,captured,9.64,EUR,2023-04-16
PAY0000000206,O000000206,captured,40.73,EUR,2023-03-01
PAY0000000207,O000000207,refunded,24.42,EUR,2023-03-23
PAY0000000208,O000000208,captured,21.87,EUR,2024-12-07
PAY0000000209,O000000209,refunded,24.44,EUR,2023-05-28
PAY0000000210,O000000210,authorized,40.54,USD,2024-08-31
PAY0000000211,O000000211,captured,15.94,PLN,2023-04-23
PAY0000000212,O000000212,authorized,13.59,USD,2024-11-06
PAY0000000213,O000000213,captured,10.49,USD,2025-01-09
PAY0000000214,O000000214,captured,15.21,USD,2025-06-03
PAY0000000215,O000000215,captured,29.33,EUR,2023-10-15
PAY0000000216,O000000216,captured,8.5,EUR,2025-01-26
PAY0000000218,O000000218,captured,19.6,EUR,2023-01-25
PAY0000000220,O000000220,captured,24.2,USD,2024-05-22
PAY0000000221,O000000221,captured,12.44,EUR,2023-06-23
PAY0000000222,O000000222,captured,24.23,EUR,2025-02-02
PAY0000000223,O000000223,authorized,13.11,USD,2023-08-22
PAY0000000224,O000000224,captured,35.96,EUR,2024-11-18
PAY0000000225,O000000225,captured,34.24,EUR,2025-01-25
PAY0000000226,O000000226,captured,41.89,USD,2023-07-10
PAY0000000227,O000000227,captured,22.47,EUR,2023-11-05
PAY0000000228,O000000228,authorized,19.57,EUR,2024-07-07
PAY0000000229,O000000229,captured,113.16,EUR,2023-03-30
PAY0000000230,O000000230,refunded,17.47,EUR,2025-05-19
PAY0000000231,O000000231,captured,56.94,EUR,2024-05-19
PAY0000000232,O000000232,captured,7.96,USD,2024-10-20
PAY0000000233,O000000233,captured,18.99,PLN,2023-09-29
PAY0000000234,O000000234,captured,11.34,USD,2024-04-14
PAY0000000235,O000000235,captured,61.81,USD,2023-12-24
PAY0000000236,O000000236,failed,25.69,GBP,2023-10-03
PAY0000000238,O000000238,authorized,4.0,EUR,2023-04-03
PAY0000000239,O000000239,captured,129.05,EUR,2024-08-07
PAY0000000240,O000000240,captured,22.64,EUR,2023-11-16
PAY0000000241,O000000241,captured,24.55,EUR,2024-08-10
PAY0000000242,O000000242,captured,31.17,USD,2023-09-01
PAY0000000243,O000000243,failed,13.73,EUR,2023-06-29
PAY0000000244,O000000244,captured,27.76,USD,2023-07-02
PAY0000000245,O000000245,captured,30.19,USD,2024-10-11
PAY0000000246,o000000246,captured,11.25,USD,2023-05-20
PAY0000000247,O000000247,authorized,19.09,EUR,2025-04-01
PAY0000000248,O000000248,captured,81.5,EUR,2024-02-28
PAY0000000249,O000000249,captured,33.01,EUR,2024-02-11
PAY0000000250,O000000250,captured,15.67,USD,2023-08-02
PAY0000000251,O000000251,captured,14.64,EUR,2025-05-09
PAY0000000252,O000000252,captured,24.32,PLN,2023-01-28
PAY0000000253,O000000253,refunded,13.13,GBP,2025-01-28
PAY0000000254,O000000254,captured,14.22,USD,2023-08-23
PAY0000000255,O000000255,refunded,5.65,EUR,2024-07-26
PAY0000000256,O000000256,captured,24.88,USD,2023-12-21
PAY0000000257,O000000257,failed,75.25,EUR,2024-01-02
PAY0000000258,O000000258,captured,38.54,GBP,2025-01-25
PAY0000000259,O000000259,captured,26.9,EUR,2023-06-18
PAY0000000260,O000000260,captured,26.08,EUR,2023-10-31
PAY0000000263,O000000263,captured,18.99,USD,2025-02-17
PAY0000000264,O000000264,refunded,57.01,EUR,2024-11-12
PAY0000000265,O000000265,captured,79.61,EUR,2024-04-09
PAY0000000266,O000000266,captured,8.99,EUR,2023-08-19
PAY0000000267,O000000267,partial_refund,52.09,USD,2024-05-20
PAY0000000268,O000000268,captured,51.75,EUR,2025-02-13
PAY0000000269,O000000269,captured,60.02,EUR,2024-07-28
PAY0000000270,O000000270,captured,7.08,USD,2024-07-05
PAY0000000272,O000000272,captured,23.14,EUR,2025-04-17
PAY0000000273,O000000273,authorized,16.69,USD,2023-02-07
PAY0000000274,O000000274,partial_refund,17.53,USD,2023-10-23
PAY0000000275,O000000275,captured,43.58,EUR,2023-12-05
PAY0000000276,O000000276,captured,25.76,EUR,2023-12-05
PAY0000000277,O000000277,captured,13.69,USD,2025-03-04
PAY0000000278,O000000278,captured,13.24,EUR,2023-01-01
PAY0000000279,O000000279,captured,54.8,EUR,2024-11-20
PAY0000000280,O000000280,captured,13.5,EUR,2024-08-18
PAY0000000281,O000000281,captured,19.44,EUR,2023-04-09
PAY0000000282,O000000282,partial_refund,30.0,USD,2024-06-05
PAY0000000283,O000000283,partial_refund,10.72,PLN,2024-03-20
PAY0000000284,O000000284,captured,39.34,EUR,2023-09-27
PAY0000000285,O000000285,captured,26.1,EUR,2024-02-08
PAY0000000286,O000000286,captured,20.93,USD,2025-03-27
PAY0000000287,O000000287,captured,16.85,EUR,2023-03-23
PAY0000000288,O000000288,captured,42.71,GBP,2023-05-24
PAY0000000289,O000000289,authorized,32.1,EUR,2024-03-29
PAY0000000290,O000000290,captured,5.87,EUR,2024-05-06
PAY0000000291,O000000291,captured,9.69,USD,2024-07-31
PAY0000000292,O000000292,captured,11.7,EUR,2023-01-19
PAY0000000294,O000000294,captured,19.14,EUR,2023-11-19
PAY0000000295,O000000295,refunded,16.23,EUR,2023-04-19
PAY0000000296,O000000296,failed,69.75,USD,2024-09-01
PAY0000000297,O000000297,refunded,52.06,EUR,2024-01-29
PAY0000000298,O000000298,refunded,9.04,EUR,2023-03-20
PAY0000000299, O000000299 ,captured,4.76,USD,2024-12-19
PAY0000000301,O000000301,captured,10.93,EUR,2024-01-16
PAY0000000302,O000000302,captured,14.33,EUR,2024-12-14
PAY0000000303,O000000303,captured,8.83,EUR,2023-01-05
PAY0000000304,O000000304,captured,11.14,EUR,2025-03-18
PAY0000000305,O000000305,refunded,32.86,EUR,2025-02-01
PAY0000000306,O000000306,captured,16.83,EUR,2024-02-04
PAY0000000307,O000000307,captured,21.78,PLN,2025-03-24
PAY0000000309,O000000309,authorized,19.18,EUR,2024-11-29
PAY0000000310,O000000310,captured,18.24,PLN,2025-02-03
PAY0000000311,O000000311,refunded,40.42,PLN,2023-07-09
PAY0000000312,O000000312,captured,50.01,EUR,2024-07-19
PAY0000000313,O000000313,captured,99.86,USD,2025-01-30
PAY0000000314,O000000314,captured,10.67,USD,2023-08-26
PAY0000000316,O000000316,captured,10.36,EUR,2024-04-30
PAY0000000317,O000000317,authorized,33.77,EUR,2024-08-16
PAY0000000318,O000000318,captured,26.42,EUR,2025-02-12
PAY0000000319,O000000319,captured,15.57,EUR,2024-02-28
PAY0000000321, O000000321 ,refunded,71.71,USD,2023-07-31
PAY0000000322,O000000322,captured,15.2,EUR,2023-01-01
PAY0000000323,O000000323,failed,18.89,EUR,2023-03-06
PAY0000000324,O000000324,captured,10.28,EUR,2024-10-20
PAY0000000325,O000000325,captured,12.29,EUR,2024-11-23
PAY0000000326,O000000326,captured,59.27,USD,2025-03-26
PAY0000000327,O000000327,authorized,40.24,EUR,2024-12-04
PAY0000000328,O000000328,failed,25.11,EUR,2025-01-17
PAY0000000329,O000000329,refunded,34.09,EUR,2024-08-19
PAY0000000330,O000000330,refunded,17.63,EUR,2025-03-11
PAY0000000331,O000000331,failed,27.35,EUR,2023-11-28
PAY0000000332,O000000332,captured,35.32,EUR,2023-11-19
PAY0000000333,O000000333,captured,20.94,USD,2023-03-28
PAY0000000334,O000000334,captured,13.42,USD,2024-02-13
PAY0000000336,O000000336,captured,27.08,USD,2024-08-29
PAY0000000338,O000000338,captured,44.64,USD,2024-11-01
PAY0000000339,O000000339,captured,3.43,EUR,2024-08-01
PAY0000000340,O000000340,captured,16.37,USD,2024-05-05
PAY0000000341,O000000341,partial_refund,34.68,USD,2025-06-16
PAY0000000342,O000000342,captured,19.92,EUR,2023-11-10
PAY0000000343,O000000343,captured,21.65,EUR,2025-02-11
PAY0000000345,O000000345,captured,60.76,EUR,2025-04-15
PAY0000000346,O000000346,captured,15.88,EUR,2023-12-07
PAY0000000347,O000000347,captured,104.07,EUR,2023-06-05
PAY0000000350,O000000350,captured,23.35,USD,2023-01-28
PAY0000000351,O000000351,captured,6.08,GBP,2024-09-27
PAY0000000352,O000000352,captured,15.98,EUR,2025-02-04
PAY0000000353,O000000353,captured,21.95,EUR,2023-09-09
PAY0000000354,O000000354,captured,31.65,USD,2023-07-22
PAY0000000355,O000000355,captured,14.05,EUR,2023-07-01
PAY0000000356,O000000356,captured,3.64,EUR,2025-01-03
PAY0000000357,O000000357,captured,8.14,EUR,2024-02-17
PAY0000000359,O000000359,refunded,64.37,EUR,2023-05-12
PAY0000000360,O000000360,refunded,21.15,EUR,2024-07-20
PAY0000000361,O000000361,failed,26.38,EUR,2024-01-23
PAY0000000363, O000000363 ,captured,32.8,EUR,2024-01-01
PAY0000000365,O000000365,captured,17.61,EUR,2023-07-10
PAY0000000366,O000000366,captured,45.02,EUR,2024-08-28
PAY0000000367,O000000367,refunded,20.66,EUR,2025-01-16
PAY0000000368,O000000368,captured,13.88,EUR,2023-03-03
PAY0000000369,O000000369,captured,64.58,USD,2024-01-26
PAY0000000370,O000000370,refunded,17.74,EUR,2023-12-30
PAY0000000371,O000000371,captured,26.98,EUR,2024-06-01
PAY0000000372,O000000372,refunded,8.71,EUR,2024-07-25
PAY0000000373, O000000373 ,captured,70.28,EUR,2023-11-05
PAY0000000374,O000000374,authorized,11.69,EUR,2025-01-31
PAY0000000375,O000000375,captured,81.85,EUR,2023-06-18
PAY0000000376,O000000376,captured,8.56,EUR,2024-12-11
PAY0000000377,O000000377,captured,19.99,USD,2025-01-22
PAY0000000378,O000000378,refunded,39.21,EUR,2024-11-12
PAY0000000379,O000000379,captured,26.29,EUR,2025-02-01
PAY0000000380,O000000380,captured,11.24,USD,2023-03-04
PAY0000000381,O000000381,captured,55.53,EUR,2024-08-24
PAY0000000382,O000000382,authorized,11.83,USD,2024-02-14
PAY0000000383,O000000383,partial_refund,17.0,PLN,2023-09-02
PAY0000000384,O000000384,authorized,26.29,EUR,2025-04-21
PAY0000000385,O000000385,captured,11.13,USD,2024-06-12
PAY0000000386,O000000386,captured,24.04,EUR,2023-06-26
PAY0000000387,O000000387,captured,63.74,USD,2025-06-04
PAY0000000388, O000000388 ,captured,35.95,EUR,2023-03-19
PAY0000000390,O000000390,authorized,15.68,EUR,2024-02-22
PAY0000000391,O000000391,captured,48.3,USD,2023-04-09
PAY0000000392,O000000392,captured,18.95,USD,2023-09-13
PAY0000000393,O000000393,captured,12.03,USD,2025-02-24
PAY0000000394,O000000394,captured,20.43,EUR,2023-03-05
PAY0000000395,O000000395,captured,95.57,EUR,2024-06-25
PAY0000000396,O000000396,failed,34.21,PLN,2023-09-15
PAY0000000397,O000000397,authorized,12.94,EUR,2024-07-17
PAY0000000398,O000000398,captured,106.16,USD,2023-06-26
PAY0000000400,O000000400,authorized,40.15,EUR,2023-04-23
PAY0000000401,O000000401,captured,38.79,EUR,2023-02-24
PAY0000000402,O000000402,captured,63.45,EUR,2024-10-08
PAY0000000403,O000000403,partial_refund,5.56,USD,2025-01-05
PAY0000000404,O000000404,refunded,89.67,EUR,2025-03-07
PAY0000000405,O000000405,refunded,25.62,EUR,2024-05-31
PAY0000000406,O000000406,captured,40.5,USD,2025-04-03
PAY0000000407,O000000407,captured,14.06,EUR,2024-06-06
PAY0000000408,O000000408,captured,13.14,USD,2024-07-19
PAY0000000409,o000000409,captured,37.9,USD,2023-04-16
PAY0000000410,O000000410,captured,16.93,EUR,2024-09-06
PAY0000000411,O000000411,captured,21.6,EUR,2025-02-15
PAY0000000412,O000000412,refunded,21.57,GBP,2024-11-16
PAY0000000414,O000000414,captured,9.39,EUR,2024-03-21
PAY0000000415,O000000415,captured,14.35,EUR,2024-09-26
PAY0000000416,O000000416,captured,21.85,USD,2024-09-15
PAY0000000417,O000000417,captured,8.79,EUR,2024-06-23
PAY0000000418,O000000418,captured,7.35,EUR,2024-10-09
PAY0000000419,O000000419,refunded,91.99,USD,2024-03-11
PAY0000000420,O000000420,captured,37.19,EUR,2025-01-24
PAY0000000421,O000000421,captured,34.53,EUR,2024-04-29
PAY0000000422,o000000422,captured,47.09,EUR,2023-05-09
PAY0000000423, O000000423 ,partial_refund,37.24,EUR,2024-04-13
PAY0000000425,O000000425,captured,37.22,USD,2025-05-05
PAY0000000426,O000000426,refunded,23.93,EUR,2024-01-14
PAY0000000427,O000000427,authorized,24.58,EUR,2023-05-31
PAY0000000428,o000000428,captured,55.68,USD,2024-05-31
PAY0000000429,O000000429,captured,49.9,PLN,2025-01-23
PAY0000000430, O000000430 ,captured,45.96,EUR,2024-01-24
PAY0000000431,O000000431,captured,30.82,USD,2023-06-24
PAY0000000434,O000000434,captured,13.01,PLN,2023-04-12
PAY0000000435,O000000435,captured,24.52,EUR,2024-05-13
PAY0000000436,O000000436,captured,3.28,USD,2023-07-01
PAY0000000437,O000000437,authorized,7.18,EUR,2025-03-09
PAY0000000438,O000000438,refunded,37.15,USD,2024-05-03
PAY0000000439,O000000439,refunded,20.38,EUR,2024-03-15
PAY0000000440,O000000440,captured,76.71,USD,2024-03-10
PAY0000000441,O000000441,partial_refund,20.04,USD,2025-04-07
PAY0000000442,O000000442,authorized,17.88,EUR,2024-06-26
PAY0000000443,O000000443,captured,37.82,EUR,2024-05-16
PAY0000000444, O000000444 ,captured,8.13,USD,2025-02-11
PAY0000000445,O000000445,captured,18.5,EUR,2023-05-03
PAY0000000446,O000000446,captured,20.22,USD,2024-09-28
PAY0000000448,O000000448,failed,25.3,EUR,2023-01-10
PAY0000000449,O000000449,captured,24.1,EUR,2023-08-07
PAY0000000450,O000000450,captured,34.15,USD,2025-03-28
PAY0000000452,O000000452,partial_refund,25.29,USD,2025-03-22
PAY0000000453,O000000453,captured,12.22,USD,2024-10-02
PAY0000000454,O000000454,captured,50.19,EUR,2025-01-04
PAY0000000455,O000000455,captured,187.68,GBP,2025-01-06
PAY0000000456,O000000456,refunded,47.85,USD,2025-02-16
PAY0000000457,O000000457,captured,20.33,USD,2025-05-01
PAY0000000458,O000000458,captured,17.48,USD,2025-02-13
PAY0000000459,O000000459,captured,45.8,USD,2025-03-26
PAY0000000461,O000000461,captured,18.24,EUR,2024-09-13
PAY0000000462,O000000462,captured,4.2,EUR,2023-03-17
PAY0000000464,O000000464,captured,44.67,EUR,2023-05-15
PAY0000000465,O000000465,captured,7.3,EUR,2024-05-16
PAY0000000466,O000000466,authorized,145.35,EUR,2024-04-01
PAY0000000467,O000000467,captured,42.73,EUR,2023-11-29
PAY0000000468,O000000468,captured,14.8,GBP,2023-12-25
PAY0000000469,O000000469,captured,14.18,EUR,2023-10-23
PAY0000000470,O000000470,captured,59.14,USD,2023-11-23
PAY0000000471,O000000471,captured,25.69,EUR,2023-11-27
PAY0000000472,O000000472,captured,34.23,EUR,2023-03-11
PAY0000000473,O000000473,captured,25.18,EUR,2024-09-14
PAY0000000474,O000000474,captured,18.76,PLN,2023-08-07
PAY0000000475,O000000475,captured,14.38,EUR,2024-06-09
PAY0000000476,O000000476,captured,29.27,EUR,2025-06-07
PAY0000000477,O000000477,authorized,33.51,EUR,2023-01-04
PAY0000000479,O000000479,captured,51.88,USD,2024-06-06
PAY0000000480,O000000480,captured,22.93,EUR,2023-02-12
PAY0000000481,O000000481,authorized,16.87,USD,2024-07-16
PAY0000000482,O000000482,refunded,103.18,EUR,2025-05-27
PAY0000000483,O000000483,captured,34.14,USD,2023-07-06
PAY0000000484,O000000484,captured,10.15,EUR,2023-05-08
PAY0000000485,O000000485,authorized,42.97,EUR,2024-10-28
PAY0000000486,O000000486,captured,43.71,EUR,2024-04-18
PAY0000000487,O000000487,captured,17.55,EUR,2024-02-20
PAY0000000488,O000000488,captured,5.46,EUR,2024-05-19
PAY0000000489,O000000489,captured,25.75,EUR,2024-03-06
PAY0000000490,O000000490,partial_refund,45.85,USD,2025-02-26
PAY0000000491,O000000491,authorized,13.6,EUR,2025-05-05
PAY0000000492,O000000492,refunded,13.41,EUR,2023-05-28
PAY0000000493,O000000493,authorized,72.86,EUR,2023-12-07
PAY0000000494, O000000494 ,refunded,12.04,EUR,2025-04-30
PAY0000000495,O000000495,captured,49.48,EUR,2023-12-01
